,Unnamed: 0,Unnamed: 0.1,Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year
0,0,0,Albendazole,CCCSC1=CC2=C(C=C1)NC(NC(=O)OC)=N2,Hepatic steatosis,Mouse,-2.322219294733919,Repeated,Oral,"FDA approval package document: Pharmacology Review 020666, page:33 PDF 1532k",https://www.pharmapendium.com/browse/fda/Albendazole/96e83f5037b99b0fd1462dbaae95a5a5?reference=33,1996.0
1,1,2,Ambrisentan,COC(C1=CC=CC=C1)(C1=CC=CC=C1)C(OC1=NC(C)=CC(C)=N1)C(=O)O,Hepatic steatosis,Mouse,-3.096910013008056,Repeated,Oral,"FDA approval package document: Pharmacology Review 022081/S-000 Part 03, page:7 PDF 5685k",https://www.pharmapendium.com/browse/fda/Ambrisentan/4d5aedf3fe04b0fe6c56247da78848e0?reference=7,2003.0
2,2,3,Aminoglutethimide,CCC1(C2=CC=C(N)C=C2)CCC(=O)NC1=O,Hepatic steatosis,Rat,-2.0211892990699383,Repeated,Oral,"FDA approval package document: Approval Package 018202/S-014 Part 01, page:26 PDF 4351k",https://www.pharmapendium.com/browse/fda/Aminoglutethimide/261e6bcd70ef7293ed647d32e5e8ca20?reference=26,1979.0
3,4,7,Amoxicillin,CC1(C)SC2C(NC(=O)C(N)C3=CC=C(O)C=C3)C(=O)N2C1C(=O)O,Hepatic steatosis,Rat,-2.6989700043360187,Repeated,Oral,"FDA approval package document: Pharmacology Review 050813/S-000, page:14 PDF 1634k",https://www.pharmapendium.com/browse/fda/Amoxicillin/015eb266cdcc47e3a5cc7bdec962f77d?reference=14,2007.0
4,5,8,Atazanavir Sulfate,COC(=O)NC(C(=O)NC(CC1=CC=CC=C1)C(O)CN(CC1=CC=C(C2=NC=CC=C2)C=C1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C,Hepatic steatosis,Mouse,-2.5563025007672877,Repeated,Oral,"EMA approval document: Scientific Discussion, page:10 PDF 362k",https://www.pharmapendium.com/browse/ema/Atazanavir Sulfate/a93a11d3afbe70add1b85a41351c4441?reference=10,2004.0
5,6,9,Azacitidine,NC1=NC(=O)N(C2OC(CO)C(O)C2O)C=N1,Hepatic steatosis,Mouse,-0.4771212547196624,Repeated,Oral,"FDA approval package document: Approval Package 214120/S-000 Part 04, page:17 PDF 6746k",https://www.pharmapendium.com/browse/fda/Azacitidine/61a72a49beeb07e421ce0c578c3e553a?reference=17,2020.0
6,9,12,Baricitinib,CCS(=O)(=O)N1CC(CC#N)(N2C=C(C3=C4C=CNC4=NC=N3)C=N2)C1,Hepatic steatosis,Rat,-2.4771212547196626,Repeated,Oral,"EMA approval document: Assessment Report EMA/13493/2017; EMEA/H/C/004085/0000, page:32 PDF 2321k",https://www.pharmapendium.com/browse/ema/Baricitinib/0eb0578cd6751827e2647b4b84079d9f?reference=32,2016.0
7,12,20,Bisoprolol Fumarate,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1,Hepatic steatosis,Mouse,-2.505149978319906,Repeated,Oral,"FDA approval package document: Approval Package 019982/S-001 Part 04, page:33 PDF 5638k",https://www.pharmapendium.com/browse/fda/Bisoprolol Fumarate/7c49937d2aea8b01f741768995f98fd7?reference=33,1992.0
8,13,21,Budesonide,CCCC1OC2CC3C4CC=C5CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,Hepatic steatosis,Rat,-0.6989700043360189,Repeated,Oral,"FDA approval package document: Pharmacology Review 021324/S-000, page:57 PDF 1774k",https://www.pharmapendium.com/browse/fda/Budesonide/1ad600f05a88866eeddaa7ad662de631?reference=57,2001.0
9,14,22,Carbamazepine,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C21,Hepatic steatosis,Rat,-2.3010299956639813,Repeated,Oral,"FDA approval package document: Pharmacology Review 016608/S-000 Part 02, page:3 PDF 467k",https://www.pharmapendium.com/browse/fda/Carbamazepine/d90ef91bf3bcb6659284e95b4b047adf?reference=3,1967.0
10,15,23,Carglumic Acid,NC(=O)NC(CCC(=O)O)C(=O)O,Hepatic steatosis,Rat,-3.0,Repeated,Oral,"FDA approval package document: Pharmacology Review 022562/S-000 Part 04, page:28 PDF 4470k",https://www.pharmapendium.com/browse/fda/Carglumic Acid/5715c822f5e5583890fe0d541762a880?reference=28,2010.0
11,17,25,Ciclopirox,CC1=CC(=O)N(O)C(C2CCCCC2)=C1,Hepatic steatosis,Rat,-1.8129133566428557,Repeated,Oral,"FDA approval package document: Approval Package 018748 Part 01, page:6 PDF 1459k",https://www.pharmapendium.com/browse/fda/Ciclopirox/c85a008d582ab0c6e2777e532d969f94?reference=6,1982.0
12,21,30,Cyclosporine,C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,Hepatic steatosis,Rat,-1.6532125137753435,Repeated,Oral,"FDA approval package document: Approval Package 050573 Part 05, page:24 PDF 4615k",https://www.pharmapendium.com/browse/fda/Cyclosporine/558cdf3c238a582a6fe3255577f2d5c4?reference=24,1987.0
13,23,32,Desmopressin Acetate,N=C(N)NCCCC(NC(=O)C1CCCN1C(=O)C1CSSCCC(=O)NC(CC2=CC=C(O)C=C2)C(=O)NC(CC2=CC=CC=C2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,Hepatic steatosis,Rat,-8.301029995663981,Repeated,Oral,"FDA approval package document: Pharmacology Review 019955, page:5 PDF 483k",https://www.pharmapendium.com/browse/fda/Desmopressin Acetate/e547efd3f3e017bef1d941db94c3763f?reference=5,1989.0
14,24,33,Eltrombopag Olamine,CC1=CC=C(N2NC(C)=C(N=NC3=C(O)C(C4=CC=CC(C(=O)O)=C4)=CC=C3)C2=O)C=C1C,Hepatic steatosis,Mouse,-2.4771212547196626,Repeated,Oral,"FDA approval package document: Pharmacology Review 022291/S-000 Part 03, page:45 PDF 6636k",https://www.pharmapendium.com/browse/fda/Eltrombopag Olamine/d45fb8d502eba909ef3ff46fc2afd8a8?reference=45,2008.0
15,25,34,Entecavir,C=C1C(CO)C(O)CC1N1C=NC2=C1N=C(N)NC2=O,Hepatic steatosis,Rat,-0.6020599913279624,Repeated,Oral,"FDA approval package document: Pharmacology Review 021797/S-000, page:119 PDF 4991k",https://www.pharmapendium.com/browse/fda/Entecavir/33465dde950fca76b460013aa96dcbe2?reference=119,2004.0
16,26,36,Famotidine,N=C(CCSCC1=CSC(N=C(N)N)=N1)NS(N)(=O)=O,Hepatic steatosis,Rabbit,-2.4771212547196626,Repeated,Oral,"FDA approval package document: Approval Package 019462/S-003 Part 03, page:15 PDF 2509k",https://www.pharmapendium.com/browse/fda/Famotidine/3e7debb6426723092a647471577502b1?reference=15,1986.0
17,27,37,Fesoterodine Fumarate,CC(C)C(=O)OC1=CC=C(CO)C=C1C(CCN(C(C)C)C(C)C)C1=CC=CC=C1,Hepatic steatosis,Rat,-2.3010299956639813,Repeated,Oral,"FDA approval package document: Pharmacology Review 022030/S-000 Part 02, page:36 PDF 6110k",https://www.pharmapendium.com/browse/fda/Fesoterodine Fumarate/02235d81b6cb6410c1d7bb305efa1771?reference=36,2006.0
