,Unnamed: 0,Unnamed: 0.1,Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year
0,0,0,Abacavir Sulfate,NC1=NC(NC2CC2)=C2N=CN(C3C=CC(CO)C3)C2=N1,Hepatic necrosis,Mouse,-3.0,Repeated,Oral,"FDA approval package document: Pharmacology Review 020977/S-000; 020978/S-000 Part 01, page:14 PDF 1163k",https://www.pharmapendium.com/browse/fda/Abacavir Sulfate/07c4f5b0213d6bee80ea94c6175056dd?reference=14,1998.0
1,1,2,Acalabrutinib,CC#CC(=O)N1CCCC1C1=NC(C2=CC=C(C(=O)NC3=NC=CC=C3)C=C2)=C2C(N)=NC=CN12,Hepatic necrosis,Rat,-2.263241434774581,Repeated,Oral,"FDA approval package document: Approval Package 210259/S-000 Part 03, page:14 PDF 1302k",https://www.pharmapendium.com/browse/fda/Acalabrutinib/633aa3ab47963d58cef38988b8d98011?reference=14,2017.0
2,2,8,Acetaminophen,CC(=O)NC1=CC=C(O)C=C1,Hepatic necrosis,Rat,-1.81424759573192,Repeated,Oral,"Reference from PharmaPendium Published Toxicity: Toxicology 243,261,2008   ---   DOI:10.1016/J.TOX.2007.10.010   ISSN:0300-483X   JOURNAL:Toxicology   PAGES:261   VOLUME:243",http://dx.doi.org/10.1016/J.TOX.2007.10.010,2008.0
3,3,19,Adefovir Dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C,Hepatic necrosis,Mouse,-1.740362689494244,Repeated,Oral,"EMA approval document: Scientific Discussion, page:6 PDF 374k",https://www.pharmapendium.com/browse/ema/Adefovir Dipivoxil/00d5380517af7603a60129c3620b05dd?reference=6,2005.0
4,4,23,Ademetionine,C[S+](CCC(N)C(=O)[O-])CC1OC(N2C=NC3=C2N=CN=C3N)C(O)C1O,Hepatic necrosis,Rat,-0.6989700043360189,Repeated,Intravenous,Reference from PharmaPendium Published Toxicity: 363141496   ---   ISSN:0869-2092   JOURNAL:Eksperimental'naya i Klinicheskaya Farmakologiya   PAGES:34   VOLUME:74,,2011.0
5,5,24,Alcohol,CCO,Hepatic necrosis,Mouse,-4.547313099163422,Repeated,Oral,"Reference from PharmaPendium Published Toxicity: Fundamental & Clinical Pharmacology (Oxford: Blackwell Science) 20,129,2006   ---   DOI:10.1111/j.1472-8206.2006.00403.x   JOURNAL:Fundamental and Clinical Pharmacology   PAGES:129   VOLUME:20",http://dx.doi.org/10.1111/j.1472-8206.2006.00403.x,2006.0
6,6,28,Almotriptan Malate,CN(C)CCC1=CNC2=C1C=C(CS(=O)(=O)N1CCCC1)C=C2,Hepatic necrosis,Rat,-2.6989700043360187,Repeated,Oral,"FDA approval package document: Pharmacology Review 021001/S-000 Part 01, page:54 PDF 1950k",https://www.pharmapendium.com/browse/fda/Almotriptan Malate/65a4fd1f91a6b2d9de68e8285c53b339?reference=54,1997.0
7,7,29,Ambrisentan,COC(C1=CC=CC=C1)(C1=CC=CC=C1)C(OC1=NC(C)=CC(C)=N1)C(=O)O,Hepatic necrosis,Mouse,-3.096910013008056,Repeated,Oral,"FDA approval package document: Pharmacology Review 022081/S-000 Part 03, page:7 PDF 5685k",https://www.pharmapendium.com/browse/fda/Ambrisentan/4d5aedf3fe04b0fe6c56247da78848e0?reference=7,2003.0
8,8,30,Amiodarone Hydrochloride,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,Hepatic necrosis,Rabbit,-0.6989700043360189,Repeated,Intravenous,"FDA approval package document: Pharmacology Review 018972/S-000, page:14 PDF 996k",https://www.pharmapendium.com/browse/fda/Amiodarone Hydrochloride/a2e7d5800e73b2dc238d09986b3c0842?reference=14,1984.0
9,10,33,Amphotericin B,CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,Hepatic necrosis,Rat,-0.5797835966168101,Repeated,Intravenous,"FDA approval package document: Approval Package 050729 Part 02, page:53 PDF 6642k",https://www.pharmapendium.com/browse/fda/Amphotericin B/ad639acfa8d84a8cdfea4b238405c9c0?reference=53,1996.0
10,12,40,Amprenavir,CC(C)CN(CC(O)C(CC1=CC=CC=C1)NC(=O)OC1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,Hepatic necrosis,Rat,-2.278753600952829,Repeated,Oral,"FDA approval package document: Pharmacology Review 021007/S-000; 021039/S-000, page:19 PDF 1550k",https://www.pharmapendium.com/browse/fda/Amprenavir/48f67e7468197a28681d5099ab1d2aae?reference=19,1998.0
