,Unnamed: 0,Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year
0,0,Alcohol,CCO,Hepatitis,Mouse,-3.6020599913279625,Repeated,Intragastric,Reference from PharmaPendium Published Toxicity: E-603928590   ---   DOI:10.1016/S1875-5364(15)30011-X   ISSN:1875-5364   JOURNAL:Chinese Journal of Natural Medicines   PAGES:250   VOLUME:13,http://dx.doi.org/10.1016/S1875-5364(15)30011-X,2015
1,2,Apremilast,CCOC1=C(OC)C=CC(C(CS(C)(=O)=O)N2C(=O)C3=CC=CC(NC(C)=O)=C3C2=O)=C1,Hepatitis,Mouse,-2.5177612629444237,Repeated,Oral,"FDA approval package document: Pharmacology Review 206088/S-000 Part 03, page:7 PDF 2721k",https://www.pharmapendium.com/browse/fda/Apremilast/88a43a84e3176143235ed5eb7e1fe514?reference=7,2014
2,4,Baricitinib,CCS(=O)(=O)N1CC(CC#N)(N2C=C(C3=C4C=CNC4=NC=N3)C=N2)C1,Hepatitis,Rat,-2.0,Repeated,Oral,"FDA approval package document: Pharmacology Review 207924/S-000 Part 11, page:22 PDF 586k",https://www.pharmapendium.com/browse/fda/Baricitinib/b6cedf858019b87826e44bba98957d73?reference=22,2016
3,7,Capsaicin,COC1=CC(CNC(=O)CCCC/C=C/C(C)C)=CC=C1O,Hepatitis,Mouse,-1.4471580313422192,Repeated,Topical,"FDA approval package document: Pharmacology Review 022395/S-000 Part 04, page:18 PDF 1006k",https://www.pharmapendium.com/browse/fda/Capsaicin/9d88a32ac58047154a4be8987beafe1b?reference=18,2008
4,11,Epinephrine,CNCC(O)C1=CC=C(O)C(O)=C1,Hepatitis,Rat,-7.301029995663981,Repeated,Intravenous,"FDA approval package document: Pharmacology Review 204200/S-rig Part 02, page:11 PDF 5329k",https://www.pharmapendium.com/browse/fda/Epinephrine/288a874e131a2189d4d7531310241b1e?reference=11,2012
5,12,Fedratinib Hydrochloride,CC1=CN=C(NC2=CC=C(OCCN3CCCC3)C=C2)N=C1NC1=CC(S(=O)(=O)NC(C)(C)C)=CC=C1,Hepatitis,Rat,-0.7269987279362623,Repeated,Oral,"FDA approval package document: Approval Package 212327/S-000 Part 05, page:7 PDF 3928k",https://www.pharmapendium.com/browse/fda/Fedratinib Hydrochloride/928c3304cfa07df6ee726f46e373cd05?reference=7,2019
6,15,Imatinib Mesylate,CC1=C(NC2=NC(C3=CN=CC=C3)=CC=N2)C=C(NC(=O)C2=CC=C(CN3CCN(C)CC3)C=C2)C=C1,Hepatitis,Rat,-1.0,Repeated,Oral,Reference from PharmaPendium Published Toxicity: 363006528   ---   DOI:10.1177/0192623311419524   ISSN:0192-6233   JOURNAL:Toxicologic Pathology   PAGES:1091   VOLUME:39,http://dx.doi.org/10.1177/0192623311419524,2011
7,16,Ipratropium Bromide,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)C1=CC=CC=C1)C2,Hepatitis,Rat,-2.3010299956639813,Repeated,Oral,"FDA approval package document: Approval Package 020228 Part 02, page:3 PDF 7029k",https://www.pharmapendium.com/browse/fda/Ipratropium Bromide/afca368ceebd4571754c70ed724cc024?reference=3,1992
8,17,Ivacaftor,CC(C)(C)C1=C(O)C=C(NC(=O)C2=CNC3=CC=CC=C3C2=O)C(C(C)(C)C)=C1,Hepatitis,Rat,-2.669006780958576,Repeated,Oral,"FDA approval package document: Pharmacology Review 203188/S-000 Part 08, page:2 PDF 327k",https://www.pharmapendium.com/browse/fda/Ivacaftor/76662d57044d69e05a4d9483cd36e752?reference=2,2012
9,18,Ketorolac Tromethamine,O=C(C1=CC=CC=C1)C1=CC=C2C(C(=O)O)CCN12,Hepatitis,Rat,-0.4771212547196624,Repeated,Intranasal,"FDA approval package document: Pharmacology Review 022382/S-000 Part 02, page:13 PDF 956k",https://www.pharmapendium.com/browse/fda/Ketorolac Tromethamine/11490508a1c8290b0e52d83976bcca17?reference=13,2008
