,Unnamed: 0,Unnamed: 0.1,Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year
0,0,0,Abacavir Sulfate,NC1=NC(NC2CC2)=C2N=CN(C3C=CC(CO)C3)C2=N1,Hepatomegaly,Rat,-2.7748361825616668,Repeated,Oral,"FDA approval package document: Pharmacology Review 020977/S-000; 020978/S-000 Part 01, page:21 PDF 1163k",https://www.pharmapendium.com/browse/fda/Abacavir Sulfate/07c4f5b0213d6bee80ea94c6175056dd?reference=21,1998.0
1,1,17,Abiraterone Acetate,CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C4=CN=CC=C4)=CCC32)C1,Hepatomegaly,Rat,-2.439332693830263,Repeated,Oral,"EMA approval document: Assessment Report EMA/CHMP/542871/2011; EMEA/H/C/002321, page:21 PDF 1612k",https://www.pharmapendium.com/browse/ema/Abiraterone Acetate/185740296add1ce30dc73add0801259d?reference=21,2011.0
2,2,19,Acetaminophen,CC(=O)NC1=CC=C(O)C=C1,Hepatomegaly,Rat,-1.3979400086720375,Repeated,Intravenous,"FDA approval package document: Pharmacology Review 204767/S-000, page:57 PDF 19675k",https://www.pharmapendium.com/browse/fda/Acetaminophen/ad96944ddec8bfde10b95a4fae87c443?reference=57,2012.0
3,3,22,Aclidinium Bromide,O=C(OC1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)C(O)(C1=CC=CS1)C1=CC=CS1,Hepatomegaly,Mouse,-7.146128066699271,Repeated,Inhalation,"FDA approval package document: Pharmacology Review 202450/S-000 Part 06, page:70 PDF 15689k",https://www.pharmapendium.com/browse/fda/Aclidinium Bromide/b314c7c42e68103349050f55e75f335c?reference=70,2011.0
4,4,26,Adapalene,COC1=CC=C(C2=CC3=CC=C(C(=O)O)C=C3C=C2)C=C1C12CC3CC(CC(C3)C1)C2,Hepatomegaly,Rat,-0.6989700043360189,Repeated,Oral,"FDA approval package document: Pharmacology Review 020380/S-010, page:12 PDF 1438k",https://www.pharmapendium.com/browse/fda/Adapalene/cdfa46929ca03ebfa90ed9644754496e?reference=12,2016.0
5,5,27,Afamelanotide,CCCCC(NC(=O)C(CO)NC(=O)C(CC1=CC=C(O)C=C1)NC(=O)C(CO)NC(C)=O)C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CNC=N1)C(=O)NC(CC1=CC=CC=C1)C(=O)NC(CCCN=C(N)N)C(=O)NC(CC1=CNC2=C1C=CC=C2)C(=O)NCC(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(C(N)=O)C(C)C,Hepatomegaly,Rat,-1.3010299956639813,Repeated,Subcutaneous,"EMA approval document: Assessment Report, page:31 PDF 4573k",https://www.pharmapendium.com/browse/ema/Afamelanotide/8ef0e37be16327e672af77a41df452b1?reference=31,2014.0
6,6,29,Agomelatine,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1,Hepatomegaly,Rat,-2.096910013008056,Repeated,Oral,"EMA approval document: Scientific Discussion EMEA/655251/2008, page:11 PDF 992k",https://www.pharmapendium.com/browse/ema/Agomelatine/27e42ced3422d3adb8be6432b6d01dbf?reference=11,2008.0
7,7,36,Albendazole,CCCSC1=CC2=C(C=C1)NC(NC(=O)OC)=N2,Hepatomegaly,Rat,-1.975431808509263,Repeated,Oral,"FDA approval package document: Pharmacology Review 020666, page:26 PDF 1532k",https://www.pharmapendium.com/browse/fda/Albendazole/96e83f5037b99b0fd1462dbaae95a5a5?reference=26,1996.0
8,8,40,Albuterol Sulfate,CC(C)(C)NCC(O)C1=CC=C(O)C(CO)=C1,Hepatomegaly,Rat,-8.036096449259214,Repeated,Inhalation,"FDA approval package document: Approval Package 019269/S-014; 019773/S-008 Part 01, page:15 PDF 3541k",https://www.pharmapendium.com/browse/fda/Albuterol Sulfate/8be963703d698f72b854283a96a91e2c?reference=15,1987.0
9,10,44,Alectinib Hydrochloride,CCC1=CC2=C(C=C1N1CCC(N3CCOCC3)CC1)C(C)(C)C1=C(C2=O)C2=C(C=C(C#N)C=C2)N1,Hepatomegaly,Rat,-0.4771212547196624,Repeated,Oral,"FDA approval package document: Pharmacology Review 208434/S-000, page:147 PDF 18427k",https://www.pharmapendium.com/browse/fda/Alectinib Hydrochloride/58836d69022270b42fe1db46093ae15f?reference=147,2015.0
