,Unnamed: 0,Unnamed: 0.1,Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year
0,1,1,Abiraterone Acetate,CC(=O)OC1CCC2(C)C(=CCC3C2CCC2(C)C(C4=CN=CC=C4)=CCC32)C1,Liver disorder,Rat,-2.6368220975871743,Repeated,Oral,"FDA approval package document: Pharmacology Review 202379/S-000 Part 05, page:2 PDF 431k",https://www.pharmapendium.com/browse/fda/Abiraterone Acetate/36da6c1c785b06cb275afd90d3ae3c24?reference=2,2011.0
1,2,4,Acalabrutinib,CC#CC(=O)N1CCCC1C1=NC(C2=CC=C(C(=O)NC3=NC=CC=C3)C=C2)=C2C(N)=NC=CN12,Liver disorder,Rat,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 210259/S-006; 210259/S-007 Part 11, page:19 PDF 824k",https://www.pharmapendium.com/browse/fda/Acalabrutinib/867e5c9b54eb25c785f393945bce36fa?reference=19,2019.0
2,3,5,Acamprosate Calcium,CC(=O)NCCCS(=O)(=O)O,Liver disorder,Mouse,-3.1760912590556813,Repeated,Oral,"FDA approval package document: Pharmacology Review 021431/S-000 Part 03, page:6 PDF 1998k",https://www.pharmapendium.com/browse/fda/Acamprosate Calcium/2e91376ec6c3cd0b7dabe48431bccc8c?reference=6,2004.0
3,4,9,Acarbose,CC1OC(OC2C(CO)OC(OC3C(CO)OC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1NC1C=C(CO)C(O)C(O)C1O,Liver disorder,Rat,-2.164352855784437,Repeated,Oral,"FDA approval package document: Approval Package 020482/S-007, S-008, page:32 PDF 2313k",https://www.pharmapendium.com/browse/fda/Acarbose/00e46b9f65aa9d25f52c8473988cb9ad?reference=32,1998.0
4,5,11,Acetaminophen,CC(=O)NC1=CC=C(O)C=C1,Liver disorder,Rat,-3.02368179886074,Repeated,Oral,Reference from PharmaPendium Published Toxicity: 2004779229   ---   DOI:10.1021/acs.chemrestox.9b00392   ISSN:0893-228X   JOURNAL:Chemical Research in Toxicology   PAGES:522   VOLUME:33,http://dx.doi.org/10.1021/acs.chemrestox.9b00392,2020.0
5,6,36,Aclidinium Bromide,O=C(OC1C[N+]2(CCCOC3=CC=CC=C3)CCC1CC2)C(O)(C1=CC=CS1)C1=CC=CS1,Liver disorder,Rat,-7.92427928812995,Repeated,Inhalation,"FDA approval package document: Pharmacology Review 202450/S-000 Part 06, page:93 PDF 15689k",https://www.pharmapendium.com/browse/fda/Aclidinium Bromide/b314c7c42e68103349050f55e75f335c?reference=93,2011.0
6,7,41,Acyclovir,NC1=NC(=O)C2=C(N1)N(COCCO)C=N2,Liver disorder,Rat,-2.204119982655925,Repeated,Intraperitoneal,"FDA approval package document: Approval Package 018828/S-001, S-003, S-007 Part 01, page:16 PDF 5164k",https://www.pharmapendium.com/browse/fda/Acyclovir/13cd219c4e45594d1baa0e0a43d7f7b9?reference=16,1980.0
7,8,44,Adapalene,COC1=CC=C(C2=CC3=CC=C(C(=O)O)C=C3C=C2)C=C1C12CC3CC(CC(C3)C1)C2,Liver disorder,Rat,-0.7781512503836436,Repeated,Skin,"FDA approval package document: Pharmacology Review 021753/S-000, page:34 PDF 3426k",https://www.pharmapendium.com/browse/fda/Adapalene/81bf08dba0dcd3d1b56f5a8b75218a87?reference=34,2004.0
8,9,45,Adefovir Dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C,Liver disorder,Mouse,-2.0,Repeated,Oral,"FDA approval package document: Pharmacology Review 021449/S-000 Part 02, page:23 PDF 1491k",https://www.pharmapendium.com/browse/fda/Adefovir Dipivoxil/685c602c1039816622659807e0912f04?reference=23,2002.0
9,10,46,Ademetionine,C[S+](CCC(N)C(=O)[O-])CC1OC(N2C=NC3=C2N=CN=C3N)C(O)C1O,Liver disorder,Rat,-0.6020599913279624,Repeated,Subcutaneous,"Reference from PharmaPendium Published Toxicity: Toxicology 200,21,2004   ---   DOI:10.1016/J.TOX.2004.02.030   ISSN:0300-483X   JOURNAL:Toxicology   PAGES:21   VOLUME:200",http://dx.doi.org/10.1016/J.TOX.2004.02.030,2004.0
