,Unnamed: 0,Unnamed: 0.1,Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year
0,0,0,Adapalene,COC1=CC=C(C2=CC3=CC=C(C(=O)O)C=C3C=C2)C=C1C12CC3CC(CC(C3)C1)C2,Liver injury,Rat,-0.6989700043360189,Repeated,Oral,"FDA approval package document: Pharmacology Review 021753/S-000, page:29 PDF 3426k",https://www.pharmapendium.com/browse/fda/Adapalene/81bf08dba0dcd3d1b56f5a8b75218a87?reference=29,2004.0
1,1,1,Adefovir Dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C,Liver injury,Mouse,-1.845098040014257,Repeated,Oral,"FDA approval package document: Pharmacology Review 021449/S-000 Part 02, page:24 PDF 1491k",https://www.pharmapendium.com/browse/fda/Adefovir Dipivoxil/685c602c1039816622659807e0912f04?reference=24,2002.0
2,2,4,Alosetron Hydrochloride,CC1=C(CN2CCC3=C(C2=O)C2=C(C=CC=C2)N3C)N=CN1,Liver injury,Rat,-1.6020599913279625,Repeated,Oral,"FDA approval package document: Pharmacology Review 021107/S-000 Part 03, page:9 PDF 688k",https://www.pharmapendium.com/browse/fda/Alosetron Hydrochloride/97c2cc8990641a87289d61470bd2d96a?reference=9,1999.0
3,3,22,Ambrisentan,COC(C1=CC=CC=C1)(C1=CC=CC=C1)C(OC1=NC(C)=CC(C)=N1)C(=O)O,Liver injury,Mouse,-2.8239087409443187,Repeated,Oral,"FDA approval package document: Pharmacology Review 022081/S-000 Part 03, page:11 PDF 5685k",https://www.pharmapendium.com/browse/fda/Ambrisentan/4d5aedf3fe04b0fe6c56247da78848e0?reference=11,2003.0
4,4,25,Amiodarone Hydrochloride,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,Liver injury,Rabbit,-2.130333768495006,Repeated,Intravenous,"FDA approval package document: Approval Package 018972/S-000 Part 01, page:10 PDF 1509k",https://www.pharmapendium.com/browse/fda/Amiodarone Hydrochloride/1ffebdb6bf4deba0d2bd2efdcc52ccd4?reference=10,1988.0
5,5,28,Amlexanox,CC(C)C1=CC=C2OC3=NC(N)=C(C(=O)O)C=C3C(=O)C2=C1,Liver injury,Rat,-2.6532125137753435,Repeated,Oral,"FDA approval package document: Approval Package 020511/S-000, page:92 PDF 7022k",https://www.pharmapendium.com/browse/fda/Amlexanox/1476b403d08e8c472cac41c7c6f777c2?reference=92,1996.0
6,6,32,Amprenavir,CC(C)CN(CC(O)C(CC1=CC=CC=C1)NC(=O)OC1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,Liver injury,Rat,-2.537819095073274,Repeated,Oral,"FDA approval package document: Pharmacology Review 021007/S-000; 021039/S-000, page:10 PDF 1550k",https://www.pharmapendium.com/browse/fda/Amprenavir/48f67e7468197a28681d5099ab1d2aae?reference=10,1998.0
7,7,34,Anastrozole,CC(C)(C#N)C1=CC(C(C)(C)C#N)=CC(CN2C=NC=N2)=C1,Liver injury,Rat,-1.2787536009528289,Repeated,Oral,"FDA approval package document: Pharmacology Review 020541/S-010, page:15 PDF 829k",https://www.pharmapendium.com/browse/fda/Anastrozole/6bc1d39cbdef73502c2b202a1539bdac?reference=15,2002.0
8,8,38,Anidulafungin,CCCCCOC1=CC=C(C2=CC=C(C3=CC=C(C(=O)NC4CC(O)C(O)NC(=O)C5C(O)C(C)CN5C(=O)C(C(C)O)NC(=O)C(C(O)C(O)C5=CC=C(O)C=C5)NC(=O)C5CC(O)CN5C(=O)C(C(C)O)NC4=O)C=C3)C=C2)C=C1,Liver injury,Rat,-1.5440680443502757,Repeated,Intravenous,"FDA approval package document: Pharmacology Review 021948/S-000; 021632/S-000, page:36 PDF 3419k",https://www.pharmapendium.com/browse/fda/Anidulafungin/5a8b3f5b87ca9a0caf47f2e7024cc485?reference=36,2003.0
9,9,40,Arformoterol Tartrate,COC1=CC=C(CC(C)NCC(O)C2=CC=C(O)C(NC=O)=C2)C=C1,Liver injury,Mouse,-6.875061408156503,Repeated,Oral,"FDA approval package document: Pharmacology Review 021912/S-000 Part 05, page:57 PDF 6862k",https://www.pharmapendium.com/browse/fda/Arformoterol Tartrate/d86103401d474f47d32ccc716b372604?reference=57,2006.0
10,12,45,Avobenzone,COC1=CC=C(C(=O)CC(=O)C2=CC=C(C(C)(C)C)C=C2)C=C1,Liver injury,Rat,-3.0,Repeated,Oral,"FDA approval package document: Review 020045, page:13 PDF 640k",https://www.pharmapendium.com/browse/fda/Avobenzone/1ba0ad145918a8be8f01db0fb944c3e2?reference=13,1987.0
11,15,62,Bexarotene,C=C(C1=CC=C(C(=O)O)C=C1)C1=C(C)C=C2C(=C1)C(C)(C)CCC2(C)C,Liver injury,Rat,-1.8129133566428557,Repeated,Oral,"FDA approval package document: Pharmacology Review 021055/S-000 Part 01, page:11 PDF 1153k",https://www.pharmapendium.com/browse/fda/Bexarotene/3b5738f6e24512f5e7d2e26086bd425d?reference=11,1999.0
12,17,80,Bivalirudin,CCC(C)C(NC(=O)C(CCC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)NC(=O)CNC(=O)C(CC(N)=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C1CCCN1C(=O)C(N)CC1=CC=CC=C1)C(=O)N1CCCC1C(=O)NC(CCC(=O)O)C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=C(O)C=C1)C(=O)NC(CC(C)C)C(=O)O,Liver injury,Rat,-2.441956837656412,Repeated,Intravenous,"FDA approval package document: Pharmacology Review 020873/S-000 Part 02, page:27 PDF 1369k",https://www.pharmapendium.com/browse/fda/Bivalirudin/b2f5599b161f9cbb6a594aa760474a8c?reference=27,1999.0
13,18,83,Bleomycin Sulfate,CC1=C(C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCC2=NC(C3=NC=C(C(N)=O)S3)=CS2)C(C)O)C(OC2OC(CO)C(O)C(O)C2OC2OC(CO)C(O)C(OC(N)=O)C2O)C2=CNC=N2)N=C(C(CC(N)=O)NCC(N)C(N)=O)N=C1N,Liver injury,Rat,-0.4771212547196624,Repeated,Intraperitoneal,"FDA approval package document: Pharmacology Review 050443, page:10 PDF 876k",https://www.pharmapendium.com/browse/fda/Bleomycin Sulfate/c3f520917986d23020c92e1182560ad8?reference=10,1972.0
14,20,87,Budesonide,CCCC1OC2CC3C4CC=C5CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,Liver injury,Rat,-7.301029995663981,Repeated,Subcutaneous,"FDA approval package document: Pharmacology Review 021324/S-000, page:58 PDF 1774k",https://www.pharmapendium.com/browse/fda/Budesonide/1ad600f05a88866eeddaa7ad662de631?reference=58,2001.0
15,23,100,Butenafine Hydrochloride,CN(CC1=CC=C(C(C)(C)C)C=C1)CC1=CC=CC2=CC=CC=C12,Liver injury,Rat,-1.9030899869919435,Repeated,Oral,"FDA approval package document: Pharmacology Review 021408/S-000, page:19 PDF 1362k",https://www.pharmapendium.com/browse/fda/Butenafine Hydrochloride/73afa670495564bf77a25a041771e58a?reference=19,2002.0
16,24,103,Caffeine Citrate,CN1C(=O)C2=C(N=CN2C)N(C)C1=O,Liver injury,Rat,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Pharmacology Review 020793/S-000, page:46 PDF 2833k",https://www.pharmapendium.com/browse/fda/Caffeine Citrate/7fa4b021e6153510d5650dd90c1dce9a?reference=46,1999.0
17,25,104,Calcitriol,C=C1/C(=C\C=C2/CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,Liver injury,Rat,-7.414973347970818,Repeated,Skin,"FDA approval package document: Pharmacology Review 022087/S-000, page:43 PDF 7140k",https://www.pharmapendium.com/browse/fda/Calcitriol/5c0627c2590dd90e925f90b575fb6796?reference=43,2008.0
18,27,108,Carbamazepine,NC(=O)N1C2=CC=CC=C2C=CC2=CC=CC=C21,Liver injury,Rat,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Pharmacology Review 016608/S-000 Part 02, page:3 PDF 467k",https://www.pharmapendium.com/browse/fda/Carbamazepine/d90ef91bf3bcb6659284e95b4b047adf?reference=3,1967.0
19,28,109,Carglumic Acid,NC(=O)NC(CCC(=O)O)C(=O)O,Liver injury,Rat,-2.6989700043360187,Repeated,Oral,"FDA approval package document: Pharmacology Review 022562/S-000 Part 04, page:16 PDF 4470k",https://www.pharmapendium.com/browse/fda/Carglumic Acid/5715c822f5e5583890fe0d541762a880?reference=16,2010.0
20,31,116,Ciclesonide,CC(C)C(=O)OCC(=O)C12OC(C3CCCCC3)OC1CC1C3CC=C4CC(=O)C=CC4(C)C3C(O)CC12C,Liver injury,Mouse,-7.951823054725721,Repeated,Oral,"FDA approval package document: Pharmacology Review 021658/S-000 Part 02, page:23 PDF 7168k",https://www.pharmapendium.com/browse/fda/Ciclesonide/8aa695d811c32909396bb092614b49ed?reference=23,2007.0
21,32,118,Cidofovir,NC1=NC(=O)N(CC(CO)OC[PH](=O)(=O)O)C=C1,Liver injury,Rat,-2.0,Repeated,Intravenous,"FDA approval package document: Pharmacology Review 020638 Part 01, page:22 PDF 11015k",https://www.pharmapendium.com/browse/fda/Cidofovir/81389b7c8bc0142f8bc1942851b394e8?reference=22,1995.0
22,37,124,Colchicine,COC1=C(OC)C(OC)=C2C(=C1)CCC(NC(C)=O)C1=CC(=O)C(OC)=CC=C12,Liver injury,Rat,-0.3010299956639812,Repeated,Intragastric,Reference from PharmaPendium Published Toxicity: 362497867   ---   DOI:10.3969/j.issn.1001-1978.2011.07.030   ISSN:1001-1978   JOURNAL:Chinese Pharmacological Bulletin   PAGES:1019   VOLUME:27,http://dx.doi.org/10.3969/j.issn.1001-1978.2011.07.030,2011.0
23,38,125,Conivaptan Hydrochloride,CC1=NC2=C(N1)C1=CC=CC=C1N(C(=O)C1=CC=C(NC(=O)C3=CC=CC=C3C3=CC=CC=C3)C=C1)CC2,Liver injury,Rat,-1.4771212547196624,Repeated,Intravenous,"FDA approval package document: Pharmacology Review 021697/S-000 Part 01, page:67 PDF 5313k",https://www.pharmapendium.com/browse/fda/Conivaptan Hydrochloride/860e08effb2fca2bf492f3fb05d05a2d?reference=67,2005.0
