Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Abemaciclib,CCN1CCN(CC1)CC1=CC=C(NC2=NC=C(F)C(=N2)C2=CC3=C(N=C(C)N3C(C)C)C(F)=C2)N=C1,Hepatic function abnormal,Human,-2.3010299956639813,Repeated,Oral,"FDA approval package document: Approval Package 208716/S-000 Part 09, page:37 PDF 678k",https://www.pharmapendium.com/browse/fda/Abemaciclib/a50315d3a726a8049e1d15f32cd253cf?reference=37,2017.0,CCN1CCN(CC1)CC1=CC=C(NC2=NC=C(F)C(=N2)C2=CC3=C(N=C(C)N3C(C)C)C(F)=C2)N=C1
Acebutolol Hydrochloride,CCCC(=O)NC1=CC=C(OCC(O)CNC(C)C)C(=C1)C(C)=O,Hepatic function abnormal,Human,-2.9030899869919438,Repeated,Oral,"FDA approval package document: Approval Package 018917/S-001 Part 10, page:14 PDF 1636k",https://www.pharmapendium.com/browse/fda/Acebutolol Hydrochloride/ff5c94ac791b1b59972237e93367ae39?reference=14,1984.0,CCCC(=O)NC1=CC=C(OCC(O)CNC(C)C)C(=C1)C(C)=O
Acetazolamide Sodium,C\C([O-])=N\C1=NN=C(S1)S(N)(=O)=O,Hepatic function abnormal,Human,-2.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 012945/S-037, S-038 Part 02, page:8 PDF 504k",https://www.pharmapendium.com/browse/fda/Acetazolamide Sodium/e5d463a87cd4eaec3059a7a016e6cf9b?reference=8,2005.0,C\C([O-])=N\C1=NN=C(S1)S(N)(=O)=O
Adefovir Dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C,Hepatic function abnormal,Human,-1.4771212547196624,Repeated,Oral,"FDA approval package document: Clinical Pharmacology and Biopharmaceutics Review 021449/S-000 Part 01, page:11 PDF 1194k",https://www.pharmapendium.com/browse/fda/Adefovir Dipivoxil/bc3aff4607718a9708d49744dbed7ebc?reference=11,2002.0,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C
Agomelatine,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1,Hepatic function abnormal,Human,-1.6989700043360187,Repeated,Oral,"EMA approval document: Assessment Report EMA/702809/2013; EMEA/H/C/000915/PSUV/0017; EMEA/H/C/000916/PSUV/0019, page:43 PDF 3542k",https://www.pharmapendium.com/browse/ema/Agomelatine/89a6f9f624ebb2e3477a0213e0e6a953?reference=43,2013.0,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1
Amiloride Hydrochloride,NC(=N)NC(=O)C1=C(N)N=C(N)C(Cl)=N1,Hepatic function abnormal,Human,-1.6020599913279623,Repeated,Oral,"FDA approval package document: Approval Package 018200 Part 09, page:7 PDF 2048k",https://www.pharmapendium.com/browse/fda/Amiloride Hydrochloride/f8fe084be70936382c723096a4a446f6?reference=7,1981.0,NC(=N)NC(=O)C1=C(N)N=C(N)C(Cl)=N1
Aminosalicylic Acid,NC1=CC=C(C(O)=O)C(O)=C1,Hepatic function abnormal,Human,-4.301029995663981,Repeated,Oral,"EMA approval document: Assessment Report EMA/18511/2014; EMEA/H/C/002709, page:45 PDF 599k",https://www.pharmapendium.com/browse/ema/Aminosalicylic Acid/5dc1c7670344f7aeae3c895ff5c6d510?reference=45,2013.0,NC1=CC=C(C(O)=O)C(O)=C1
Amiodarone Hydrochloride,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,Hepatic function abnormal,Human,-2.7781512503836434,Repeated,Oral,"FDA approval package document: Approval Package 018972/S-014 Part 13, page:22 PDF 4900k",https://www.pharmapendium.com/browse/fda/Amiodarone Hydrochloride/f4944cf744f11785c20123f7038cc342?reference=22,1983.0,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
Amphotericin B Liposome,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@H]([C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@H]1C)O2)C(O)=O,Hepatic function abnormal,Human,-0.47712125471966244,Repeated,Intravenous,"FDA approval package document: Medical Officer Review 050740/S-000 Part 01, page:30 PDF 1551k",https://www.pharmapendium.com/browse/fda/Amphotericin B Liposome/19d5d0daddbe2dbdf5768428b0cd5659?reference=30,1997.0,C[CH]1OC(=O)C[CH](O)C[CH](O)CC[CH](O)[CH](O)C[CH](O)C[C]2(O)C[CH](O)[CH]([CH](C[CH](O[CH]3O[CH](C)[CH](O)[CH](N)[CH]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[CH](C)[CH](O)[CH]1C)O2)C(O)=O
Anagrelide Hydrochloride,ClC1=C(Cl)C2=C(C=C1)N=C1NC(=O)CN1C2,Hepatic function abnormal,Human,-0.6989700043360189,Repeated,Oral,"EMA approval document: ANNEX I, page:4 PDF 301k",https://www.pharmapendium.com/browse/ema/Anagrelide Hydrochloride/c38efdb6ee6f0cf78e1ce7d0dd880ad3?reference=4,2020.0,ClC1=C(Cl)C2=C(C=C1)N=C1NC(=O)CN1C2
Anidulafungin,CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O,Hepatic function abnormal,Human,-0.6989700043360189,Repeated,Intravenous,"EMA approval document: ANNEX I, page:4 PDF 246k",https://www.pharmapendium.com/browse/ema/Anidulafungin/b0126dc536ecaaa2fca7659f1a5064c5?reference=4,2020.0,CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)N[CH]1C[CH](O)[CH](O)NC(=O)[CH]2[CH](O)[CH](C)CN2C(=O)[CH](NC(=O)[CH](NC(=O)[CH]2C[CH](O)CN2C(=O)[CH](NC1=O)[CH](C)O)[CH](O)[CH](O)C1=CC=C(O)C=C1)[CH](C)O
Apixaban,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O,Hepatic function abnormal,Human,-1.3010299956639813,Repeated,Oral,"EMA approval document: Assessment Report EMA/478338/2014; EMEA/H/C/002148/II/0014/G, page:82 PDF 2588k",https://www.pharmapendium.com/browse/ema/Apixaban/63204c7b176325279d63eef03f2d71ff?reference=82,2014.0,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O
Argatroban,C[C@@H]1CCN([C@H](C1)C(O)=O)C(=O)[C@H](CCCNC(N)=N)NS(=O)(=O)C1=C2NCC(C)CC2=CC=C1,Hepatic function abnormal,Human,-2.6989700043360187,Repeated,Intravenous,"FDA approval package document: Medical/Clinical Review 020883/S-000 Part 02, page:16 PDF 1482k",https://www.pharmapendium.com/browse/fda/Argatroban/b122a5989d050ed712a3caf647e9286a?reference=16,2000.0,C[CH]1CCN([CH](C1)C(O)=O)C(=O)[CH](CCCNC(N)=N)NS(=O)(=O)C1=C2NCC(C)CC2=CC=C1
