Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Amiodarone Hydrochloride,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,Hepatitis acute,Human,-1.380211241711606,Repeated,Intravenous,"FDA approval package document: Medical/Clinical Review 022325/S-000, page:56 PDF 4383k",https://www.pharmapendium.com/browse/fda/Amiodarone Hydrochloride/905fc0105fb7a9f0722d63ca5ee33b94?reference=56,2008.0,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
Anidulafungin,CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O,Hepatitis acute,Human,-0.6989700043360189,Repeated,Intravenous,"EMA approval document: Assessment Report EMA/916359/2019; EMEA/H/C/000788/P46/046, page:30 PDF 1307k",https://www.pharmapendium.com/browse/ema/Anidulafungin/8db8b31deadd98115829b6333f16e5f2?reference=30,2018.0,CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)N[CH]1C[CH](O)[CH](O)NC(=O)[CH]2[CH](O)[CH](C)CN2C(=O)[CH](NC(=O)[CH](NC(=O)[CH]2C[CH](O)CN2C(=O)[CH](NC1=O)[CH](C)O)[CH](O)[CH](O)C1=CC=C(O)C=C1)[CH](C)O
Aztreonam,C[C@H]1[C@H](NC(=O)C(=N/OC(C)(C)C(O)=O)\C2=CSC(N)=N2)C(=O)N1S(O)(=O)=O,Hepatitis acute,Human,-0.47712125471966244,Repeated,Inhalation,"FDA approval package document: Medical/Clinical Review 050814/S-000, page:147 PDF 2453k",https://www.pharmapendium.com/browse/fda/Aztreonam/bb144edde8247201da42a76afeb3318d?reference=147,2009.0,C[CH]1[CH](NC(=O)C(=N/OC(C)(C)C(O)=O)\C2=CSC(N)=N2)C(=O)N1S(O)(=O)=O
Brexpiprazole,O=C1NC2=CC(OCCCCN3CCN(CC3)C3=C4C=CSC4=CC=C3)=CC=C2C=C1,Hepatitis acute,Human,-0.47712125471966244,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 205422/S-000 Part 04, page:81 PDF 20059k",https://www.pharmapendium.com/browse/fda/Brexpiprazole/00ccb22ace460844be09f496a697ac0d?reference=81,2014.0,O=C1NC2=CC(OCCCCN3CCN(CC3)C3=C4C=CSC4=CC=C3)=CC=C2C=C1
Carteolol Hydrochloride,CC(C)(C)NCC(O)COC1=CC=CC2=C1CCC(=O)N2,Hepatitis acute,Human,-1.0,Repeated,Oral,"FDA approval package document: Approval Package 019204 Part 01, page:2 PDF 5749k",https://www.pharmapendium.com/browse/fda/Carteolol Hydrochloride/7500040fe3a502b3c82f20206fa1b9cb?reference=2,1988.0,CC(C)(C)NCC(O)COC1=CC=CC2=C1CCC(=O)N2
Cefdinir,[H][C@]12SCC(C=C)=C(N1C(=O)[C@H]2NC(=O)C(=N/O)\C1=CSC(N)=N1)C(O)=O,Hepatitis acute,Human,-2.7781512503836434,Repeated,Oral,"FDA approval package document: Printed Labeling 050749/S-000, page:23 PDF 1493k",https://www.pharmapendium.com/browse/fda/Cefdinir/10c4f05e362d284ea2ef7800cb8bc9b3?reference=23,1997.0,[H][C]12SCC(C=C)=C(N1C(=O)[CH]2NC(=O)C(=N/O)\C1=CSC(N)=N1)C(O)=O
Ceritinib,CC(C)OC1=C(NC2=NC=C(Cl)C(NC3=C(C=CC=C3)S(=O)(=O)C(C)C)=N2)C=C(C)C(=C1)C1CCNCC1,Hepatitis acute,Human,-2.8750612633917,Repeated,Oral,"EMA approval document: Assessment Report EMA/386332/2017; EMEA/H/C/003819/II/0012, page:71 PDF 6439k",https://www.pharmapendium.com/browse/ema/Ceritinib/0ce99201261a9d8e84a0cbcfc52ed714?reference=71,2017.0,CC(C)OC1=C(NC2=NC=C(Cl)C(NC3=C(C=CC=C3)S(=O)(=O)C(C)C)=N2)C=C(C)C(=C1)C1CCNCC1
Cetirizine Hydrochloride,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,Hepatitis acute,Human,-1.0,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 022155/S-000 Part 01, page:62 PDF 7190k",https://www.pharmapendium.com/browse/fda/Cetirizine Hydrochloride/5477eee343e2d9bd7ae6807c4260c83f?reference=62,2007.0,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
Cladribine,NC1=NC(Cl)=NC2=C1N=CN2[C@@H]1C[C@H](O)[C@@H](CO)O1,Hepatitis acute,Human,-1.3979400086720377,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 022561/S-000 Part 04, page:23 PDF 4930k",https://www.pharmapendium.com/browse/fda/Cladribine/1c5c8bb5770707770a89e05f34cb8828?reference=23,2010.0,NC1=NC(Cl)=NC2=C1N=CN2[CH]1C[CH](O)[CH](CO)O1
Diclofenac Sodium,[O-]C(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,Hepatitis acute,Human,-2.1760912590556813,Repeated,Oral,"FDA approval package document: Approval Package 019201/S-001, S-002, S-003, S-005, S-007, S-009, S-010, S-013, S-014, S-015, S-019, S-021 Part 06, page:18 PDF 5413k",https://www.pharmapendium.com/browse/fda/Diclofenac Sodium/c56ad2267611ad95c9ab82329518aad8?reference=18,1988.0,[O-]C(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
