Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Abemaciclib,CCN1CCN(CC1)CC1=CC=C(NC2=NC=C(F)C(=N2)C2=CC3=C(N=C(C)N3C(C)C)C(F)=C2)N=C1,Cholecystitis,Human,-2.3010299956639813,Repeated,Oral,"FDA approval package document: Approval Package 208716/S-000 Part 09, page:25 PDF 678k",https://www.pharmapendium.com/browse/fda/Abemaciclib/a50315d3a726a8049e1d15f32cd253cf?reference=25,2017.0,CCN1CCN(CC1)CC1=CC=C(NC2=NC=C(F)C(=N2)C2=CC3=C(N=C(C)N3C(C)C)C(F)=C2)N=C1
Acalabrutinib,CC#CC(=O)N1CCC[C@H]1C1=NC(C2=CC=C(C=C2)C(=O)NC2=NC=CC=C2)=C2N1C=CN=C2N,Cholecystitis,Human,-1.4471580313422192,Repeated,Oral,"FDA approval package document: Approval Package 210259/S-000 Part 07, page:13 PDF 479k",https://www.pharmapendium.com/browse/fda/Acalabrutinib/790d7b2ca966a263cae6a013477587ca?reference=13,2017.0,CC#CC(=O)N1CCC[CH]1C1=NC(C2=CC=C(C=C2)C(=O)NC2=NC=CC=C2)=C2N1C=CN=C2N
Acitretin,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C,Cholecystitis,Human,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 019821 Part 01, page:1 PDF 7773k",https://www.pharmapendium.com/browse/fda/Acitretin/1a0cb7a639fe6c5d73334f9d95bc1bc6?reference=1,1996.0,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C
Alosetron Hydrochloride,CN1C2=C(C(=O)N(CC2)CC2=C(C)NC=N2)C2=C1C=CC=C2,Cholecystitis,Human,-0.0,Repeated,Oral,"FDA approval package document: Approval Package 206647 Part 02, page:2 PDF 1085k",https://www.pharmapendium.com/browse/fda/Alosetron Hydrochloride/b844899fe2dcd0f784831fc7f492a893?reference=2,2016.0,CN1C2=C(C(=O)N(CC2)CC2=C(C)NC=N2)C2=C1C=CC=C2
Amiodarone Hydrochloride,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,Cholecystitis,Human,-2.7781512503836434,Repeated,Oral,"FDA approval package document: Approval Package 018972/S-014 Part 17, page:29 PDF 4907k",https://www.pharmapendium.com/browse/fda/Amiodarone Hydrochloride/01d504d906d5404cd63b07c8e7335937?reference=29,1983.0,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
Amphotericin B,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,Cholecystitis,Human,-0.6989700043360189,Repeated,Intravenous,"FDA approval package document: Approval Package 050724 Part 04, page:6 PDF 4130k",https://www.pharmapendium.com/browse/fda/Amphotericin B/2d9ca1b6cf96fb8db3da224d7e9e499f?reference=6,1995.0,[H][C]12C[CH](O[CH]3O[CH](C)[CH](O)[CH](N)[CH]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[CH](C)[CH](O)[CH](C)[CH](C)OC(=O)C[CH](O)C[CH](O)CC[CH](O)[CH](O)C[CH](O)C[C](O)(C[CH](O)[CH]1C(O)=O)O2
Anastrozole,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N,Cholecystitis,Human,-0.0,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 020541/S-010 Part 02, page:14 PDF 2691k",https://www.pharmapendium.com/browse/fda/Anastrozole/6373bfaf67f083a9d0dc380d29635cfd?reference=14,2001.0,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N
Anidulafungin,CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O,Cholecystitis,Human,-2.3010299956639813,Repeated,Intravenous,"FDA approval package document: Medical/Clinical Review 021948/S-000; 021632/S-000 Part 02, page:65 PDF 3936k",https://www.pharmapendium.com/browse/fda/Anidulafungin/4e65267e8ff39cff9411a1cc5601321e?reference=65,2005.0,CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)N[CH]1C[CH](O)[CH](O)NC(=O)[CH]2[CH](O)[CH](C)CN2C(=O)[CH](NC(=O)[CH](NC(=O)[CH]2C[CH](O)CN2C(=O)[CH](NC1=O)[CH](C)O)[CH](O)[CH](O)C1=CC=C(O)C=C1)[CH](C)O
Aripiprazole,ClC1=CC=CC(N2CCN(CCCCOC3=CC=C4CCC(=O)NC4=C3)CC2)=C1Cl,Cholecystitis,Human,-1.4771212547196624,Repeated,Oral,"FDA approval package document: Label 021713/S-009; 021436/S-014, page:34 PDF 355k",https://www.pharmapendium.com/browse/fda/Aripiprazole/5fa5b3b87e61be15a4b85ecbb134a142?reference=34,2005.0,ClC1=CC=CC(N2CCN(CCCCOC3=CC=C4CCC(=O)NC4=C3)CC2)=C1Cl
Armodafinil,NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1,Cholecystitis,Human,-2.3979400086720375,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 021875/S-000 Part 03, page:65 PDF 7194k",https://www.pharmapendium.com/browse/fda/Armodafinil/d678f4f141624a3f2cd5f7be0fc08f3a?reference=65,2007.0,NC(=O)C[S](=O)C(C1=CC=CC=C1)C1=CC=CC=C1
