Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Acitretin,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C,Cholelithiasis,Human,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 019821 Part 01, page:17 PDF 7773k",https://www.pharmapendium.com/browse/fda/Acitretin/1a0cb7a639fe6c5d73334f9d95bc1bc6?reference=17,1996.0,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C
Ambrisentan,COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1,Cholelithiasis,Human,-1.0,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 022081/S-000 Part 01, page:65 PDF 5894k",https://www.pharmapendium.com/browse/fda/Ambrisentan/e117720ab3e6f9b3a0d7516463fe958e?reference=65,2007.0,COC([CH](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1
Anastrozole,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N,Cholelithiasis,Human,-0.0,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 020541/S-010 Part 02, page:14 PDF 2691k",https://www.pharmapendium.com/browse/fda/Anastrozole/6373bfaf67f083a9d0dc380d29635cfd?reference=14,2001.0,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N
Aripiprazole,ClC1=CC=CC(N2CCN(CCCCOC3=CC=C4CCC(=O)NC4=C3)CC2)=C1Cl,Cholelithiasis,Human,-1.4771212547196624,Repeated,Oral,"FDA approval package document: Label 021866/S-000, page:41 PDF 3491k",https://www.pharmapendium.com/browse/fda/Aripiprazole/cd74fed17ff151d875f9b8a2c02cca13?reference=41,,ClC1=CC=CC(N2CCN(CCCCOC3=CC=C4CCC(=O)NC4=C3)CC2)=C1Cl
Armodafinil,NC(=O)C[S@@](=O)C(C1=CC=CC=C1)C1=CC=CC=C1,Cholelithiasis,Human,-2.3979400086720375,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 021875/S-000 Part 03, page:65 PDF 7194k",https://www.pharmapendium.com/browse/fda/Armodafinil/d678f4f141624a3f2cd5f7be0fc08f3a?reference=65,2007.0,NC(=O)C[S](=O)C(C1=CC=CC=C1)C1=CC=CC=C1
Arsenic Trioxide,O1[As]2O[As]1O2,Cholelithiasis,Human,-0.47712125471966244,Repeated,Intravenous,"EMA approval document: Assessment Report EMA/CHMP/623089/2016; EMEA/H/C/000388/II/0058, page:49 PDF 2793k",https://www.pharmapendium.com/browse/ema/Arsenic Trioxide/fe610381fc16a4934c63adf8252ffd96?reference=49,2016.0,O1[As]2O[As]1O2
Azilsartan Kamedoxomil,CCOC1=NC2=CC=CC(C(=O)OCC3=C(C)OC(=O)O3)=C2N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NOC([O-])N1,Cholelithiasis,Human,-1.6020599913279623,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 200796/S-000 Part 04, page:36 PDF 6157k",https://www.pharmapendium.com/browse/fda/Azilsartan Kamedoxomil/795aa288e997610e4d3a2ddfe9669b1d?reference=36,2011.0,CCOC1=NC2=CC=CC(C(=O)OCC3=C(C)OC(=O)O3)=C2N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NOC([O-])N1
Beclomethasone Dipropionate,[H][C@@]12C[C@H](C)[C@](OC(=O)CC)(C(=O)COC(=O)CC)[C@@]1(C)C[C@H](O)[C@@]1(Cl)[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,Cholelithiasis,Human,-3.2041199826559246,Repeated,Inhalation,"FDA approval package document: Approval Package 207921/S-000 Part 03, page:42 PDF 928k",https://www.pharmapendium.com/browse/fda/Beclomethasone Dipropionate/c56e4d1ce6b3bc7b841cc2105c9dcf37?reference=42,2016.0,[H][C]12C[CH](C)[C](OC(=O)CC)(C(=O)COC(=O)CC)[C]1(C)C[CH](O)[C]1(Cl)[C]2([H])CCC2=CC(=O)C=C[C]12C
Bempedoic Acid,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(O)=O)C(O)=O,Cholelithiasis,Human,-2.255272505103306,Repeated,Oral,"FDA approval package document: Approval Package 211616/S-000 Part 11, page:61 PDF 1857k",https://www.pharmapendium.com/browse/fda/Bempedoic Acid/2208c196ea39d0c896405f6c8e825e31?reference=61,2019.0,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(O)=O)C(O)=O
Brexpiprazole,O=C1NC2=CC(OCCCCN3CCN(CC3)C3=C4C=CSC4=CC=C3)=CC=C2C=C1,Cholelithiasis,Human,-0.47712125471966244,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 205422/S-000 Part 04, page:81 PDF 20059k",https://www.pharmapendium.com/browse/fda/Brexpiprazole/00ccb22ace460844be09f496a697ac0d?reference=81,2014.0,O=C1NC2=CC(OCCCCN3CCN(CC3)C3=C4C=CSC4=CC=C3)=CC=C2C=C1
