Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Acitretin,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C,Cholestasis,Human,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 019821 Part 01, page:10 PDF 7773k",https://www.pharmapendium.com/browse/fda/Acitretin/1a0cb7a639fe6c5d73334f9d95bc1bc6?reference=10,1996.0,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C
Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)C(=O)N2[C@H]1C(O)=O,Cholestasis,Human,-1.0791812460476249,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 050542/S-017; 050754/S-002; 050760/S-001; 050761/S-001, page:4 PDF 275k",https://www.pharmapendium.com/browse/fda/Amoxicillin/079f6473e812ed6a6222837d00e49d6e?reference=4,1999.0,CC1(C)S[CH]2[CH](NC(=O)[CH](N)C3=CC=C(O)C=C3)C(=O)N2[CH]1C(O)=O
Anidulafungin,CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O,Cholestasis,Human,-0.6989700043360189,Repeated,Intravenous,"EMA approval document: Assessment Report EMA/304231/2020; EMEA/H/C/000788/II/0040, page:61 PDF 3676k",https://www.pharmapendium.com/browse/ema/Anidulafungin/5a5991756b23170ddf3bf5cbcf6a6d04?reference=61,2020.0,CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)N[CH]1C[CH](O)[CH](O)NC(=O)[CH]2[CH](O)[CH](C)CN2C(=O)[CH](NC(=O)[CH](NC(=O)[CH]2C[CH](O)CN2C(=O)[CH](NC1=O)[CH](C)O)[CH](O)[CH](O)C1=CC=C(O)C=C1)[CH](C)O
Atorvastatin Calcium,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(C2=CC=CC=C2)=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1,Cholestasis,Human,-1.9030899869919435,Repeated,Oral,"FDA approval package document: Printed Labeling 077575/S-000, page:26 PDF 8877k",https://www.pharmapendium.com/browse/fda/Atorvastatin Calcium/b2b778f4f7c1d7393c50ff220ea5034f?reference=26,2010.0,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(C2=CC=CC=C2)=C(N1CC[CH](O)C[CH](O)CC([O-])=O)C1=CC=C(F)C=C1
Brigatinib,COC1=CC(=CC=C1NC1=NC(NC2=CC=CC=C2P(C)(C)=O)=C(Cl)C=N1)N1CCC(CC1)N1CCN(C)CC1,Cholestasis,Human,-2.255272505103306,Repeated,Oral,"EMA approval document: Assessment Report EMA/140650/2020; EMEA/H/C/004248/II/0003, page:79 PDF 5666k",https://www.pharmapendium.com/browse/ema/Brigatinib/90bc8094fb1cd300b7ee28bf690bb302?reference=79,2020.0,COC1=CC(=CC=C1NC1=NC(NC2=CC=CC=C2P(C)(C)=O)=C(Cl)C=N1)N1CCC(CC1)N1CCN(C)CC1
Cefadroxil,[H][C@]12SCC(C)=C(N1C(=O)[C@H]2NC(=O)[C@H](N)C1=CC=C(O)C=C1)C(O)=O,Cholestasis,Human,-1.4771212547196624,Repeated,Oral,"FDA approval package document: Approval Package 050527/S-009, page:29 PDF 2946k",https://www.pharmapendium.com/browse/fda/Cefadroxil/8f1f4d9eb86135ccadf08e3cb7095dbf?reference=29,1991.0,[H][C]12SCC(C)=C(N1C(=O)[CH]2NC(=O)[CH](N)C1=CC=C(O)C=C1)C(O)=O
Cefdinir,[H][C@]12SCC(C=C)=C(N1C(=O)[C@H]2NC(=O)C(=N/O)\C1=CSC(N)=N1)C(O)=O,Cholestasis,Human,-2.7781512503836434,Repeated,Oral,"FDA approval package document: Printed Labeling 050749/S-000, page:23 PDF 1493k",https://www.pharmapendium.com/browse/fda/Cefdinir/10c4f05e362d284ea2ef7800cb8bc9b3?reference=23,1997.0,[H][C]12SCC(C=C)=C(N1C(=O)[CH]2NC(=O)C(=N/O)\C1=CSC(N)=N1)C(O)=O
Cefmenoxime Hydrochloride,CO\N=C(C(=O)N[C@H]1[C@H]2SCC(CSC3=NN=NN3C)=C(N2C1=O)C(O)=O)\C1=CSC(N)=N1,Cholestasis,Human,-3.3010299956639813,Repeated,Parenteral,"FDA approval package document: Approval Package 050571 Part 01, page:10 PDF 5151k",https://www.pharmapendium.com/browse/fda/Cefmenoxime Hydrochloride/d2aca4fcb286f5a4bc51c0e42c7c6d63?reference=10,1987.0,CO\N=C(C(=O)N[CH]1[CH]2SCC(CSC3=NN=NN3C)=C(N2C1=O)C(O)=O)\C1=CSC(N)=N1
Cefpodoxime Proxetil,COCC1=C(N2[C@H](SC1)[C@H](NC(=O)C(=N\OC)\C1=CSC(N)=N1)C2=O)C(=O)OC(C)OC(=O)OC(C)C,Cholestasis,Human,-2.9030899869919438,Repeated,Oral,"FDA approval package document: Approval Package 050687 Part 01, page:23 PDF 4381k",https://www.pharmapendium.com/browse/fda/Cefpodoxime Proxetil/5ffa088364de86a8a3c0e1d525cdef88?reference=23,1992.0,COCC1=C(N2[CH](SC1)[CH](NC(=O)C(=N\OC)\C1=CSC(N)=N1)C2=O)C(=O)OC(C)OC(=O)OC(C)C
Ceftazidime,[H][C@]12SCC(C[N+]3=CC=CC=C3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC(C)(C)C(O)=O)\C1=CSC(N)=N1)C([O-])=O,Cholestasis,Human,-3.4771212547196626,Repeated,Parenteral,"FDA approval package document: Approval Package 050646 Part 01, page:28 PDF 5617k",https://www.pharmapendium.com/browse/fda/Ceftazidime/04d84e2f3ec0d275868d36da01f7904e?reference=28,1991.0,[H][C]12SCC(C[N+]3=CC=CC=C3)=C(N1C(=O)[CH]2NC(=O)C(=N/OC(C)(C)C(O)=O)\C1=CSC(N)=N1)C([O-])=O
