Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Amiodarone Hydrochloride,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,Hepatitis cholestatic,Human,-1.380211241711606,Repeated,Intravenous,"FDA approval package document: Label 022325/S-000, page:9 PDF 1417k",https://www.pharmapendium.com/browse/fda/Amiodarone Hydrochloride/c0699c2ee28215284fc348c87712e2da?reference=9,2009.0,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
Amphotericin B Liposome,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@H]([C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@H]1C)O2)C(O)=O,Hepatitis cholestatic,Human,-0.6989700043360189,Repeated,Intravenous,"FDA approval package document: Medical Officer Review 050740/S-000 Part 02, page:11 PDF 1675k",https://www.pharmapendium.com/browse/fda/Amphotericin B Liposome/78e250c7992db1f3a1a76c3e77bdf637?reference=11,1997.0,C[CH]1OC(=O)C[CH](O)C[CH](O)CC[CH](O)[CH](O)C[CH](O)C[C]2(O)C[CH](O)[CH]([CH](C[CH](O[CH]3O[CH](C)[CH](O)[CH](N)[CH]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[CH](C)[CH](O)[CH]1C)O2)C(O)=O
Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,Hepatitis cholestatic,Human,-2.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 050670 Part 01, page:45 PDF 5781k",https://www.pharmapendium.com/browse/fda/Azithromycin/60d06ae12756409b4839686e6bf7ee43?reference=45,1991.0,CC[CH]1OC(=O)[CH](C)[CH](O[CH]2C[C](C)(OC)[CH](O)[CH](C)O2)[CH](C)[CH](O[CH]2O[CH](C)C[CH]([CH]2O)N(C)C)[C](C)(O)C[CH](C)CN(C)[CH](C)[CH](O)[C]1(C)O
Buprenorphine Hydrochloride,[H][C@@]1(C[C@@]23CC[C@]1(OC)[C@@H]1OC4=C(O)C=CC5=C4[C@]21CCN(CC1CC1)[C@@H]3C5)[C@](C)(O)C(C)(C)C,Hepatitis cholestatic,Human,-0.9030899869919435,Repeated,Sublingual,"FDA approval package document: Medical/Clinical Review 020732/S-000; 020733/S-000 Part 02, page:14 PDF 929k",https://www.pharmapendium.com/browse/fda/Buprenorphine Hydrochloride/6f3f909645d2c7da9aa55693118b0029?reference=14,2001.0,[H][C]1(C[C]23CC[C]1(OC)[CH]1OC4=C(O)C=CC5=C4[C]21CCN(CC1CC1)[CH]3C5)[C](C)(O)C(C)(C)C
Ceritinib,CC(C)OC1=C(NC2=NC=C(Cl)C(NC3=C(C=CC=C3)S(=O)(=O)C(C)C)=N2)C=C(C)C(=C1)C1CCNCC1,Hepatitis cholestatic,Human,-2.8750612633917,Repeated,Oral,"EMA approval document: Assessment Report EMA/170114/2015; EMEA/H/C/003819/0000, page:86 PDF 3461k",https://www.pharmapendium.com/browse/ema/Ceritinib/625fcc14a77690a19eb6362758b85c7e?reference=86,2015.0,CC(C)OC1=C(NC2=NC=C(Cl)C(NC3=C(C=CC=C3)S(=O)(=O)C(C)C)=N2)C=C(C)C(=C1)C1CCNCC1
Cyclophosphamide,ClCCN(CCCl)P1(=O)NCCCO1,Hepatitis cholestatic,Human,-0.6989700043360189,Repeated,Oral,"FDA approval package document: Label 203856/S-000, page:7 PDF 333k",https://www.pharmapendium.com/browse/fda/Cyclophosphamide/d134b6b0c0f1d60144f6d82dbd25f9e9?reference=7,2013.0,ClCCN(CCCl)P1(=O)NCCCO1
Diclofenac Sodium,[O-]C(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,Hepatitis cholestatic,Human,-2.1760912590556813,Repeated,Oral,"FDA approval package document: Approval Package 019201/S-001, S-002, S-003, S-005, S-007, S-009, S-010, S-013, S-014, S-015, S-019, S-021 Part 04, page:20 PDF 4845k",https://www.pharmapendium.com/browse/fda/Diclofenac Sodium/50a02054fb1c7b2f7fc0318a7d09e44c?reference=20,1988.0,[O-]C(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
Dirithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)[C@@H]2N[C@@H](COCCOC)O[C@H]([C@H]2C)[C@]1(C)O,Hepatitis cholestatic,Human,-0.3010299956639812,Repeated,Oral,"FDA approval package document: Approval Package 050678 Part 02, page:20 PDF 5481k",https://www.pharmapendium.com/browse/fda/Dirithromycin/a6c4fabc5a94a7b7f2c880d168e6a978?reference=20,1993.0,CC[CH]1OC(=O)[CH](C)[CH](O[CH]2C[C](C)(OC)[CH](O)[CH](C)O2)[CH](C)[CH](O[CH]2O[CH](C)C[CH]([CH]2O)N(C)C)[C](C)(O)C[CH](C)[CH]2N[CH](COCCOC)O[CH]([CH]2C)[C]1(C)O
Doripenem,[H][C@]12[C@@H](C)C(S[C@@H]3CN[C@H](CNS(N)(=O)=O)C3)=C(N1C(=O)[C@]2([H])[C@@H](C)O)C(O)=O,Hepatitis cholestatic,Human,-0.9030899869919435,Repeated,Intravenous,"FDA approval package document: Medical/Clinical Review 022106/S-000 Part 07, page:66 PDF 6553k",https://www.pharmapendium.com/browse/fda/Doripenem/f39bc05dfa6b38d3afc67502182deac1?reference=66,2007.0,[H][C]12[CH](C)C(S[CH]3CN[CH](CNS(N)(=O)=O)C3)=C(N1C(=O)[C]2([H])[CH](C)O)C(O)=O
Entacapone,CCN(CC)C(=O)C(\C#N)=C\C1=CC(=C(O)C(O)=C1)N(=O)=O,Hepatitis cholestatic,Human,-3.3010299956639813,Repeated,Oral,"EMA approval document: ANNEX I, page:7 PDF 188k",https://www.pharmapendium.com/browse/ema/Entacapone/ec16fd7455529856c5f2928da9d31a56?reference=7,2020.0,CCN(CC)C(=O)C(\C#N)=C\C1=CC(=C(O)C(O)=C1)N(=O)=O
