Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Abiraterone Acetate,[H][C@@]12CC=C3C[C@H](CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(=CC[C@@]21[H])C1=CN=CC=C1)OC(C)=O,Hepatitis fulminant,Human,-3.0,Repeated,Oral,"EMA approval document: ANNEX I, page:8 PDF 704k",https://www.pharmapendium.com/browse/ema/Abiraterone Acetate/4bbf263355394076b6ada2eca598ca6a?reference=8,2020.0,[H][C]12CC=C3C[CH](CC[C]3(C)[C]1([H])CC[C]1(C)C(=CC[C]21[H])C1=CN=CC=C1)OC(C)=O
Acarbose,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,Hepatitis fulminant,Human,-2.1760912590556813,Repeated,Oral,"FDA approval package document: Approval Package 020482/S-001, S003, S004, S005, S006, S-009 Part 03, page:49 PDF 2583k",https://www.pharmapendium.com/browse/fda/Acarbose/266f462ff01cd4cf4b561b7a08b7a59d?reference=49,1995.0,C[CH]1O[CH](O[CH]2[CH](CO)O[CH](O[CH]3[CH](CO)OC(O)[CH](O)[CH]3O)[CH](O)[CH]2O)[CH](O)[CH](O)[CH]1N[CH]1C=C(CO)[CH](O)[CH](O)[CH]1O
Acetaminophen,CC(=O)NC1=CC=C(O)C=C1,Hepatitis fulminant,Human,-0.9030899869919435,Repeated,Intravenous,"FDA approval package document: Medical/Clinical Review 022450, page:46 PDF 2564k",https://www.pharmapendium.com/browse/fda/Acetaminophen/83f8128ea8e6ce0b48b9c4616e72f373?reference=46,2009.0,CC(=O)NC1=CC=C(O)C=C1
Acitretin,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C,Hepatitis fulminant,Human,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 019821 Part 01, page:11 PDF 7773k",https://www.pharmapendium.com/browse/fda/Acitretin/1a0cb7a639fe6c5d73334f9d95bc1bc6?reference=11,1996.0,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C
Amiodarone Hydrochloride,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,Hepatitis fulminant,Human,-1.380211241711606,Repeated,Intravenous,"FDA approval package document: Medical/Clinical Review 022325/S-000, page:56 PDF 4383k",https://www.pharmapendium.com/browse/fda/Amiodarone Hydrochloride/905fc0105fb7a9f0722d63ca5ee33b94?reference=56,2008.0,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
Cefdinir,[H][C@]12SCC(C=C)=C(N1C(=O)[C@H]2NC(=O)C(=N/O)\C1=CSC(N)=N1)C(O)=O,Hepatitis fulminant,Human,-2.7781512503836434,Repeated,Oral,"FDA approval package document: Printed Labeling 050749/S-000, page:23 PDF 1493k",https://www.pharmapendium.com/browse/fda/Cefdinir/10c4f05e362d284ea2ef7800cb8bc9b3?reference=23,1997.0,[H][C]12SCC(C=C)=C(N1C(=O)[CH]2NC(=O)C(=N/O)\C1=CSC(N)=N1)C(O)=O
Cladribine,NC1=NC(Cl)=NC2=C1N=CN2[C@@H]1C[C@H](O)[C@@H](CO)O1,Hepatitis fulminant,Human,-1.3979400086720377,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 022561/S-000 Part 08, page:1 PDF 563k",https://www.pharmapendium.com/browse/fda/Cladribine/f27ae2cebdd652242276e7032ba19dfe?reference=1,2010.0,NC1=NC(Cl)=NC2=C1N=CN2[CH]1C[CH](O)[CH](CO)O1
Diclofenac,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,Hepatitis fulminant,Human,-0.47712125471966244,Repeated,Oral,"FDA approval package document: Approval Package 204592/S-002 Part 02, page:13 PDF 327k",https://www.pharmapendium.com/browse/fda/Diclofenac/ee971ade0f09a16e64abb5acbe9e0ad6?reference=13,2014.0,OC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
Diclofenac Potassium,[O-]C(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,Hepatitis fulminant,Human,-2.1760912590556813,Repeated,Oral,"FDA approval package document: Approval Package 020142/S-001, S-002, S-004 Part 01, page:12 PDF 8395k",https://www.pharmapendium.com/browse/fda/Diclofenac Potassium/4b75f5a5589b3ba68ec8439b1369fb45?reference=12,1993.0,[O-]C(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
Dronedarone Hydrochloride,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=CC=C(NS(C)(=O)=O)C=C12,Hepatitis fulminant,Human,-2.9030899869919438,Repeated,Intramuscular,"EMA approval document: Assessment Report EMEA/H/C/1043/A20/005, page:19 PDF 943k",https://www.pharmapendium.com/browse/ema/Dronedarone Hydrochloride/ac8f06b056b2958a2f0f1a402458ce78?reference=19,2011.0,CCCCN(CCCC)CCCOC1=CC=C(C=C1)C(=O)C1=C(CCCC)OC2=CC=C(NS(C)(=O)=O)C=C12
