Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Acarbose,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,Hepatic cirrhosis,Human,-2.1760912590556813,Repeated,Oral,"FDA approval package document: Approval Package 020482/S-001, S003, S004, S005, S006, S-009 Part 03, page:20 PDF 2583k",https://www.pharmapendium.com/browse/fda/Acarbose/266f462ff01cd4cf4b561b7a08b7a59d?reference=20,1995.0,C[CH]1O[CH](O[CH]2[CH](CO)O[CH](O[CH]3[CH](CO)OC(O)[CH](O)[CH]3O)[CH](O)[CH]2O)[CH](O)[CH](O)[CH]1N[CH]1C=C(CO)[CH](O)[CH](O)[CH]1O
Acitretin,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C,Hepatic cirrhosis,Human,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 019821 Part 01, page:10 PDF 7773k",https://www.pharmapendium.com/browse/fda/Acitretin/1a0cb7a639fe6c5d73334f9d95bc1bc6?reference=10,1996.0,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C
Amiodarone Hydrochloride,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,Hepatic cirrhosis,Human,-2.9030899869919438,Repeated,Oral,"FDA approval package document: Approval Package 018972/S-014 Part 12, page:31 PDF 5420k",https://www.pharmapendium.com/browse/fda/Amiodarone Hydrochloride/4458ab986d830273f3d667d2639687ad?reference=31,1983.0,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
Anastrozole,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N,Hepatic cirrhosis,Human,-0.0,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 020541/S-010 Part 02, page:12 PDF 2691k",https://www.pharmapendium.com/browse/fda/Anastrozole/6373bfaf67f083a9d0dc380d29635cfd?reference=12,2001.0,CC(C)(C#N)C1=CC(=CC(CN2C=NC=N2)=C1)C(C)(C)C#N
Astemizole,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1,Hepatic cirrhosis,Human,-1.3010299956639813,Repeated,Oral,"FDA approval package document: Approval Package 019402/S-001, S-003, S-004, S-007, S-010 Part 04, page:16 PDF 5094k",https://www.pharmapendium.com/browse/fda/Astemizole/c7f307304e463fd0244c1ae633f4e636?reference=16,1988.0,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1
Bosentan,COC1=CC=CC=C1OC1=C(OCCO)N=C(N=C1NS(=O)(=O)C1=CC=C(C=C1)C(C)(C)C)C1=NC=CC=N1,Hepatic cirrhosis,Human,-2.0969100130080562,Repeated,Oral,"FDA approval package document: Label 209279/S-000, page:3 PDF 1644k",https://www.pharmapendium.com/browse/fda/Bosentan/648b177208c756f4b29e1bc828f06d66?reference=3,2017.0,COC1=CC=CC=C1OC1=C(OCCO)N=C(N=C1NS(=O)(=O)C1=CC=C(C=C1)C(C)(C)C)C1=NC=CC=N1
Clozapine,CN1CCN(CC1)C1=NC2=C(NC3=C1C=CC=C3)C=CC(Cl)=C2,Hepatic cirrhosis,Human,-2.9542425094393248,Repeated,Oral,"FDA approval package document: Label 203479/S-000, page:27 PDF 1267k",https://www.pharmapendium.com/browse/fda/Clozapine/107c277867a1040822f8ad90fa780b3d?reference=27,2013.0,CN1CCN(CC1)C1=NC2=C(NC3=C1C=CC=C3)C=CC(Cl)=C2
Diclofenac Sodium,[O-]C(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,Hepatic cirrhosis,Human,-2.1760912590556813,Repeated,Oral,"FDA approval package document: Approval Package 020254 Part 01, page:31 PDF 6698k",https://www.pharmapendium.com/browse/fda/Diclofenac Sodium/891c218b015c1e44ea525acca4a04113?reference=31,1995.0,[O-]C(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
Dimethyl Fumarate,COC(=O)\C=C\C(=O)OC,Hepatic cirrhosis,Human,-0.47712125471966244,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 204063/S-000 Part 01, page:45 PDF 476k",https://www.pharmapendium.com/browse/fda/Dimethyl Fumarate/1770ccda694a98d5444778f8c0b118e5?reference=45,2013.0,COC(=O)\C=C\C(=O)OC
Dolutegravir Sodium,[H][C@]12CN3C=C(C(=O)NCC4=CC=C(F)C=C4F)C(=O)C([O-])=C3C(=O)N1[C@H](C)CCO2,Hepatic cirrhosis,Human,-2.0,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 204790 Part 04, page:29 PDF 7848k",https://www.pharmapendium.com/browse/fda/Dolutegravir Sodium/1ad0a2b9727ce58261902f144c3cb335?reference=29,2012.0,[H][C]12CN3C=C(C(=O)NCC4=CC=C(F)C=C4F)C(=O)C([O-])=C3C(=O)N1[CH](C)CCO2
