Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Abemaciclib,CCN1CCN(CC1)CC1=CC=C(NC2=NC=C(F)C(=N2)C2=CC3=C(N=C(C)N3C(C)C)C(F)=C2)N=C1,Hepatic failure,Human,-2.3010299956639813,Repeated,Oral,"FDA approval package document: Approval Package 208716/S-000 Part 09, page:24 PDF 678k",https://www.pharmapendium.com/browse/fda/Abemaciclib/a50315d3a726a8049e1d15f32cd253cf?reference=24,2017.0,CCN1CCN(CC1)CC1=CC=C(NC2=NC=C(F)C(=N2)C2=CC3=C(N=C(C)N3C(C)C)C(F)=C2)N=C1
Abiraterone Acetate,[H][C@@]12CC=C3C[C@H](CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(=CC[C@@]21[H])C1=CN=CC=C1)OC(C)=O,Hepatic failure,Human,-3.0,Repeated,Oral,"FDA approval package document: Approval Package 202379/S-005 Part 08, page:25 PDF 8941k",https://www.pharmapendium.com/browse/fda/Abiraterone Acetate/df9e8e13ef1657e4b4c8680206628198?reference=25,2012.0,[H][C]12CC=C3C[CH](CC[C]3(C)[C]1([H])CC[C]1(C)C(=CC[C]21[H])C1=CN=CC=C1)OC(C)=O
Acetazolamide Sodium,C\C([O-])=N\C1=NN=C(S1)S(N)(=O)=O,Hepatic failure,Human,-2.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 012945/S-037, S-038 Part 02, page:8 PDF 504k",https://www.pharmapendium.com/browse/fda/Acetazolamide Sodium/e5d463a87cd4eaec3059a7a016e6cf9b?reference=8,2005.0,C\C([O-])=N\C1=NN=C(S1)S(N)(=O)=O
Acitretin,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C,Hepatic failure,Human,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 019821 Part 01, page:11 PDF 7773k",https://www.pharmapendium.com/browse/fda/Acitretin/1a0cb7a639fe6c5d73334f9d95bc1bc6?reference=11,1996.0,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C
Adefovir Dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C,Hepatic failure,Human,-1.4771212547196624,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 021449/S-000 Part 02, page:2 PDF 1758k",https://www.pharmapendium.com/browse/fda/Adefovir Dipivoxil/f59feb319af20abdd484a192c72a1024?reference=2,,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C
Agomelatine,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1,Hepatic failure,Human,-1.3979400086720377,Repeated,Oral,"EMA approval document: ANNEX I, page:3 PDF 445k",https://www.pharmapendium.com/browse/ema/Agomelatine/8f1a8e32ead8fc917201fd71a0b5d214?reference=3,2020.0,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1
Allopurinol Sodium,[O-]C1=NC=NC2=C1C=NN2,Hepatic failure,Human,-3.3010299956639813,Repeated,Oral,"FDA approval package document: Medical Officer Review 020298, page:6 PDF 829k",https://www.pharmapendium.com/browse/fda/Allopurinol Sodium/5abae8ecd9a4c5e7111e7990c32914e5?reference=6,1993.0,[O-]C1=NC=NC2=C1C=NN2
Alprazolam,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,Hepatic failure,Human,-0.7781512503836436,Repeated,Oral,"FDA approval package document: Printed Labeling 021726/S-000, page:19 PDF 1977k",https://www.pharmapendium.com/browse/fda/Alprazolam/1df31e0b37180d1cffaefc2ea15e6eca?reference=19,,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
Ambrisentan,COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1,Hepatic failure,Human,-1.0,Repeated,Oral,"FDA approval package document: Approval Package 022081/S-017 Part 05, page:55 PDF 6131k",https://www.pharmapendium.com/browse/fda/Ambrisentan/7eb36e2aef104a107f4e978fef0262de?reference=55,2011.0,COC([CH](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1
Amphotericin B Liposome,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@H]([C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@H]1C)O2)C(O)=O,Hepatic failure,Human,-0.47712125471966244,Repeated,Intravenous,"FDA approval package document: Medical Officer Review 050740/S-000 Part 01, page:29 PDF 1551k",https://www.pharmapendium.com/browse/fda/Amphotericin B Liposome/19d5d0daddbe2dbdf5768428b0cd5659?reference=29,1997.0,C[CH]1OC(=O)C[CH](O)C[CH](O)CC[CH](O)[CH](O)C[CH](O)C[C]2(O)C[CH](O)[CH]([CH](C[CH](O[CH]3O[CH](C)[CH](O)[CH](N)[CH]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[CH](C)[CH](O)[CH]1C)O2)C(O)=O
