Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Abemaciclib,CCN1CCN(CC1)CC1=CC=C(NC2=NC=C(F)C(=N2)C2=CC3=C(N=C(C)N3C(C)C)C(F)=C2)N=C1,Hepatic steatosis,Human,-2.3010299956639813,Repeated,Oral,"FDA approval package document: Approval Package 208716/S-000 Part 09, page:15 PDF 678k",https://www.pharmapendium.com/browse/fda/Abemaciclib/a50315d3a726a8049e1d15f32cd253cf?reference=15,2017.0,CCN1CCN(CC1)CC1=CC=C(NC2=NC=C(F)C(=N2)C2=CC3=C(N=C(C)N3C(C)C)C(F)=C2)N=C1
Acitretin,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C,Hepatic steatosis,Human,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 019821 Part 01, page:13 PDF 7773k",https://www.pharmapendium.com/browse/fda/Acitretin/1a0cb7a639fe6c5d73334f9d95bc1bc6?reference=13,1996.0,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C
Adefovir Dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C,Hepatic steatosis,Human,-1.0,Repeated,Oral,"EMA approval document: ANNEX I, page:5 PDF 557k",https://www.pharmapendium.com/browse/ema/Adefovir Dipivoxil/2e1895c9ecb48f44229ee0cad2869763?reference=5,2019.0,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C
Cabotegravir Sodium,[H][C@@]12CN3C=C(C(=O)NCC4=C(F)C=C(F)C=C4)C(=O)C([O-])=C3C(=O)N1[C@@H](C)CO2,Hepatic steatosis,Human,-1.7781512503836436,Repeated,Oral,"FDA approval package document: Review 212887/S-000; 212888/S-000 Part 19, page:9 PDF 701k",https://www.pharmapendium.com/browse/fda/Cabotegravir Sodium/d8a48ae1e91b38d344fc32218cf5483b?reference=9,2019.0,[H][C]12CN3C=C(C(=O)NCC4=C(F)C=C(F)C=C4)C(=O)C([O-])=C3C(=O)N1[CH](C)CO2
Cenobamate,NC(=O)O[C@@H](CN1N=CN=N1)C1=CC=CC=C1Cl,Hepatic steatosis,Human,-2.3979400086720375,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 212839/S-000 Part 15, page:39 PDF 1604k",https://www.pharmapendium.com/browse/fda/Cenobamate/d41c102f04e6df0797332bbe00aa2289?reference=39,2019.0,NC(=O)O[CH](CN1N=CN=N1)C1=CC=CC=C1Cl
Clozapine,CN1CCN(CC1)C1=NC2=C(NC3=C1C=CC=C3)C=CC(Cl)=C2,Hepatic steatosis,Human,-2.9542425094393248,Repeated,Oral,"FDA approval package document: Label 203479/S-000, page:27 PDF 1267k",https://www.pharmapendium.com/browse/fda/Clozapine/107c277867a1040822f8ad90fa780b3d?reference=27,2013.0,CN1CCN(CC1)C1=NC2=C(NC3=C1C=CC=C3)C=CC(Cl)=C2
Cobicistat,CC(C)C1=NC(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)CC2=CC=CC=C2)=CS1,Hepatic steatosis,Human,-2.1760912590556813,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 203094/S-000 Part 05, page:75 PDF 15871k",https://www.pharmapendium.com/browse/fda/Cobicistat/cf97ec370dc39aa6baa9336ae252e4c6?reference=75,2012.0,CC(C)C1=NC(CN(C)C(=O)N[CH](CCN2CCOCC2)C(=O)N[CH](CC[CH](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)CC2=CC=CC=C2)=CS1
Darunavir Ethanolate,[H][C@]12OCC[C@@]1([H])[C@H](CO2)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@H](O)CN(CC(C)C)S(=O)(=O)C1=CC=C(N)C=C1,Hepatic steatosis,Human,-2.9030899869919438,Repeated,Oral,"EMA approval document: Assessment Report EMA/CHMP/304651/2012; EMEA/H/C/000707/X/0041/G, page:31 PDF 374k",https://www.pharmapendium.com/browse/ema/Darunavir Ethanolate/6cd5c78c0742d1e6d915c9e0a0c885f4?reference=31,2012.0,[H][C]12OCC[C]1([H])[CH](CO2)OC(=O)N[CH](CC1=CC=CC=C1)[CH](O)CN(CC(C)C)S(=O)(=O)C1=CC=C(N)C=C1
Deferasirox,OC(=O)C1=CC=C(C=C1)N1N=C(N=C1C1=CC=CC=C1O)C1=CC=CC=C1O,Hepatic steatosis,Human,-1.4771212547196624,Repeated,Oral,"EMA approval document: Scientific Discussion, page:36 PDF 564k",https://www.pharmapendium.com/browse/ema/Deferasirox/aead5c74d6060f6540c15dd3aeb9791f?reference=36,2006.0,OC(=O)C1=CC=C(C=C1)N1N=C(N=C1C1=CC=CC=C1O)C1=CC=CC=C1O
Diazepam,CN1C(=O)CN=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C12,Hepatic steatosis,Human,-1.7781512503836436,Repeated,Oral,"FDA approval package document: Approval Package 013263/S-003, S-008, S-019, S-040, S-041, S-042, S-043, S-046, S-049, S-054; 016087/S-040, S-042, S-045; 017984/S-010; 018179/S-001 Part 01, page:51 PDF 4467k",https://www.pharmapendium.com/browse/fda/Diazepam/c07af973f7b6af41e0a0b1e6c18fe979?reference=51,1963.0,CN1C(=O)CN=C(C2=CC=CC=C2)C2=CC(Cl)=CC=C12
