Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Acetazolamide Sodium,C\C([O-])=N\C1=NN=C(S1)S(N)(=O)=O,Hepatic necrosis,Human,-2.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 012945/S-037, S-038 Part 02, page:8 PDF 504k",https://www.pharmapendium.com/browse/fda/Acetazolamide Sodium/e5d463a87cd4eaec3059a7a016e6cf9b?reference=8,2005.0,C\C([O-])=N\C1=NN=C(S1)S(N)(=O)=O
Adefovir Dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C,Hepatic necrosis,Human,-1.0,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 021449/S-000 Part 01, page:55 PDF 1882k",https://www.pharmapendium.com/browse/fda/Adefovir Dipivoxil/fd32899894085e0f71dd0ff92984a2fa?reference=55,,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C
Allopurinol,O=C1NC=NC2=C1C=NN2,Hepatic necrosis,Human,-2.7781512503836434,Repeated,Oral,"FDA approval package document: Approval Package 018832, page:43 PDF 5594k",https://www.pharmapendium.com/browse/fda/Allopurinol/52fa5d08d3452a2974c3e85d74125655?reference=43,1984.0,O=C1NC=NC2=C1C=NN2
Amiodarone Hydrochloride,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,Hepatic necrosis,Human,-2.9030899869919438,Repeated,Oral,"FDA approval package document: Approval Package 018972/S-014 Part 18, page:9 PDF 5937k",https://www.pharmapendium.com/browse/fda/Amiodarone Hydrochloride/f61559ce465d19b11a15e17eb7a4e51c?reference=9,1983.0,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
Anidulafungin,CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O,Hepatic necrosis,Human,-2.0,Repeated,Intravenous,Mosby's Drug Consult TM: Anidulafungin,https://www.pharmapendium.com/browse/mosby/Anidulafungin/Anidulafungin#t004107-ar-9,2006.0,CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)N[CH]1C[CH](O)[CH](O)NC(=O)[CH]2[CH](O)[CH](C)CN2C(=O)[CH](NC(=O)[CH](NC(=O)[CH]2C[CH](O)CN2C(=O)[CH](NC1=O)[CH](C)O)[CH](O)[CH](O)C1=CC=C(O)C=C1)[CH](C)O
Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,Hepatic necrosis,Human,-2.6989700043360187,Repeated,Oral/intravenous,"FDA approval package document: Label 050809/S-000, page:15 PDF 1584k",https://www.pharmapendium.com/browse/fda/Azithromycin/0c2ef5a844f20b7e1b10400ba21520ef?reference=15,2006.0,CC[CH]1OC(=O)[CH](C)[CH](O[CH]2C[C](C)(OC)[CH](O)[CH](C)O2)[CH](C)[CH](O[CH]2O[CH](C)C[CH]([CH]2O)N(C)C)[C](C)(O)C[CH](C)CN(C)[CH](C)[CH](O)[C]1(C)O
Balsalazide Disodium,OC1=CC=C(C=C1C([O-])=O)\N=N\C1=CC=C(C=C1)C(=O)NCCC([O-])=O,Hepatic necrosis,Human,-0.3010299956639812,Repeated,Oral,"FDA approval package document: Label 022205/S-000, page:5 PDF 1039k",https://www.pharmapendium.com/browse/fda/Balsalazide Disodium/39f42c3ed4963ef1763049c817e6579c?reference=5,2012.0,OC1=CC=C(C=C1C([O-])=O)\N=N\C1=CC=C(C=C1)C(=O)NCCC([O-])=O
Benoxaprofen,CC(C(O)=O)C1=CC=C2OC(=NC2=C1)C1=CC=C(Cl)C=C1,Hepatic necrosis,Human,-2.7781512503836434,Repeated,Oral,"FDA approval package document: Approval Package 018250 Part 06, page:44 PDF 6047k",https://www.pharmapendium.com/browse/fda/Benoxaprofen/5312b25dcc6727268d88955af8b474b5?reference=44,1976.0,CC(C(O)=O)C1=CC=C2OC(=NC2=C1)C1=CC=C(Cl)C=C1
Buprenorphine Hydrochloride,[H][C@@]1(C[C@@]23CC[C@]1(OC)[C@@H]1OC4=C(O)C=CC5=C4[C@]21CCN(CC1CC1)[C@@H]3C5)[C@](C)(O)C(C)(C)C,Hepatic necrosis,Human,-1.2041199826559248,Repeated,Sublingual,"FDA approval package document: Medical/Clinical Review 204442/S-000 Part 02, page:96 PDF 17649k",https://www.pharmapendium.com/browse/fda/Buprenorphine Hydrochloride/832f0ccf37dcc98c3672cd9af38e1a97?reference=96,2013.0,[H][C]1(C[C]23CC[C]1(OC)[CH]1OC4=C(O)C=CC5=C4[C]21CCN(CC1CC1)[CH]3C5)[C](C)(O)C(C)(C)C
Cetirizine Hydrochloride,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,Hepatic necrosis,Human,-1.0,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 022155/S-000 Part 01, page:33 PDF 7190k",https://www.pharmapendium.com/browse/fda/Cetirizine Hydrochloride/5477eee343e2d9bd7ae6807c4260c83f?reference=33,2007.0,OC(=O)COCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1
