Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Acalabrutinib,CC#CC(=O)N1CCC[C@H]1C1=NC(C2=CC=C(C=C2)C(=O)NC2=NC=CC=C2)=C2N1C=CN=C2N,Hepatitis,Human,-2.0,Repeated,Oral,"FDA approval package document: Approval Package 210259/S-006; 210259/S-007 Part 16, page:21 PDF 7375k",https://www.pharmapendium.com/browse/fda/Acalabrutinib/efa223c1346a408063449cedd71ec87a?reference=21,2019.0,CC#CC(=O)N1CCC[CH]1C1=NC(C2=CC=C(C=C2)C(=O)NC2=NC=CC=C2)=C2N1C=CN=C2N
Acitretin,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C,Hepatitis,Human,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 019821 Part 01, page:13 PDF 7773k",https://www.pharmapendium.com/browse/fda/Acitretin/1a0cb7a639fe6c5d73334f9d95bc1bc6?reference=13,1996.0,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C
Adefovir Dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C,Hepatitis,Human,-1.0,Repeated,Oral,"EMA approval document: Assessment Report EMEA/H/C/485/II/30, page:9 PDF 116k",https://www.pharmapendium.com/browse/ema/Adefovir Dipivoxil/05d8eb51641806e5c5daf0470d4cdae0?reference=9,2008.0,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C
Agomelatine,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1,Hepatitis,Human,-1.3979400086720377,Repeated,Oral,"EMA approval document: ANNEX I, page:3 PDF 274k",https://www.pharmapendium.com/browse/ema/Agomelatine/b52c4999c51accf6b1679047c049acb6?reference=3,2020.0,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1
Albendazole,CCCSC1=CC2=C(NC(NC(=O)OC)=N2)C=C1,Hepatitis,Human,-2.9030899869919438,Repeated,Oral,"FDA approval package document: Medical Officer Review 020666 Part 02, page:5 PDF 1644k",https://www.pharmapendium.com/browse/fda/Albendazole/717289ccbfffabc58f7eddfcc3e18e38?reference=5,1996.0,CCCSC1=CC2=C(NC(NC(=O)OC)=N2)C=C1
Alosetron Hydrochloride,CN1C2=C(C(=O)N(CC2)CC2=C(C)NC=N2)C2=C1C=CC=C2,Hepatitis,Human,-0.3010299956639812,Repeated,Oral,"FDA approval package document: Label 021107/S-012, page:11 PDF 406k",https://www.pharmapendium.com/browse/fda/Alosetron Hydrochloride/6f5d6f111fe5cba6084deda6eb278cbe?reference=11,2005.0,CN1C2=C(C(=O)N(CC2)CC2=C(C)NC=N2)C2=C1C=CC=C2
Alprazolam,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,Hepatitis,Human,-0.7781512503836436,Repeated,Oral,"FDA approval package document: Printed Labeling 021726/S-000, page:19 PDF 1977k",https://www.pharmapendium.com/browse/fda/Alprazolam/1df31e0b37180d1cffaefc2ea15e6eca?reference=19,,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
Ambrisentan,COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1,Hepatitis,Human,-1.0,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 022081/S-000 Part 01, page:64 PDF 5894k",https://www.pharmapendium.com/browse/fda/Ambrisentan/e117720ab3e6f9b3a0d7516463fe958e?reference=64,2007.0,COC([CH](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1
Amdinocillin,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2\N=C\N1CCCCCC1)C(O)=O,Hepatitis,Human,-1.7781512503836436,Repeated,Intravenous,"FDA approval package document: Approval Package 050565 Part 03, page:26 PDF 5467k",https://www.pharmapendium.com/browse/fda/Amdinocillin/3a672ae67c0f203e38e26f2475b5620c?reference=26,1983.0,[H][C]12SC(C)(C)[CH](N1C(=O)[CH]2\N=C\N1CCCCCC1)C(O)=O
Amineptine,OC(=O)CCCCCCNC1C2=CC=CC=C2CCC2=CC=CC=C12,Hepatitis,Human,-2.4771212547196626,Repeated,Oral,Reference from PharmaPendium Published Toxicity: Amineptine10v84n1   ---   DOI:10.1590/S0365-05962009000100010   JOURNAL:Anais Brasileiros de Dermatologia   PAGES:71   VOLUME:84,http://dx.doi.org/10.1590/S0365-05962009000100010,2009.0,OC(=O)CCCCCCNC1C2=CC=CC=C2CCC2=CC=CC=C12
