Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Acalabrutinib,CC#CC(=O)N1CCC[C@H]1C1=NC(C2=CC=C(C=C2)C(=O)NC2=NC=CC=C2)=C2N1C=CN=C2N,Hepatobiliary disorders,Human,-1.4471580313422192,Repeated,Oral,"FDA approval package document: Approval Package 210259/S-000 Part 07, page:13 PDF 479k",https://www.pharmapendium.com/browse/fda/Acalabrutinib/790d7b2ca966a263cae6a013477587ca?reference=13,2017.0,CC#CC(=O)N1CCC[CH]1C1=NC(C2=CC=C(C=C2)C(=O)NC2=NC=CC=C2)=C2N1C=CN=C2N
Ambrisentan,COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1,Hepatobiliary disorders,Human,-1.0,Repeated,Oral,"FDA approval package document: Approval Package 022081/S-017 Part 05, page:53 PDF 6131k",https://www.pharmapendium.com/browse/fda/Ambrisentan/7eb36e2aef104a107f4e978fef0262de?reference=53,2011.0,COC([CH](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1
Anidulafungin,CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O,Hepatobiliary disorders,Human,-0.6989700043360189,Repeated,Intravenous,"EMA approval document: Assessment Report EMA/916359/2019; EMEA/H/C/000788/P46/046, page:29 PDF 1307k",https://www.pharmapendium.com/browse/ema/Anidulafungin/8db8b31deadd98115829b6333f16e5f2?reference=29,2018.0,CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)N[CH]1C[CH](O)[CH](O)NC(=O)[CH]2[CH](O)[CH](C)CN2C(=O)[CH](NC(=O)[CH](NC(=O)[CH]2C[CH](O)CN2C(=O)[CH](NC1=O)[CH](C)O)[CH](O)[CH](O)C1=CC=C(O)C=C1)[CH](C)O
Aripiprazole,ClC1=CC=CC(N2CCN(CCCCOC3=CC=C4CCC(=O)NC4=C3)CC2)=C1Cl,Hepatobiliary disorders,Human,-1.4771212547196624,Repeated,Oral,"FDA approval package document: Approval Package 021436/S-019, S-020, S-022; 021713/S-014 Part 05, page:28 PDF 4582k",https://www.pharmapendium.com/browse/fda/Aripiprazole/9fd1fb67d42642b109846933541b098f?reference=28,2008.0,ClC1=CC=CC(N2CCN(CCCCOC3=CC=C4CCC(=O)NC4=C3)CC2)=C1Cl
Avapritinib,CN1C=C(C=N1)C1=CN2N=CN=C(N3CCN(CC3)C3=NC=C(C=N3)[C@@](C)(N)C3=CC=C(F)C=C3)C2=C1,Hepatobiliary disorders,Human,-2.7781512503836434,Repeated,Oral,"FDA approval package document: Approval Package 212608/S-000 Part 05, page:30 PDF 757k",https://www.pharmapendium.com/browse/fda/Avapritinib/464e25d0cd7b6ae46c5d8ad3184c38de?reference=30,2020.0,CN1C=C(C=N1)C1=CN2N=CN=C(N3CCN(CC3)C3=NC=C(C=N3)[C](C)(N)C3=CC=C(F)C=C3)C2=C1
Bempedoic Acid,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(O)=O)C(O)=O,Hepatobiliary disorders,Human,-2.255272505103306,Repeated,Oral,"EMA approval document: Public Assessment Report EMA/CHMP/86202/2020; EMEA/H/C/004958/0000, page:127 PDF 2756k",https://www.pharmapendium.com/browse/ema/Bempedoic Acid/e2ef502ac064d1e1c9910b26ad1d2c8f?reference=127,2020.0,CC(C)(CCCCCC(O)CCCCCC(C)(C)C(O)=O)C(O)=O
Boceprevir,[H][C@]12CN([C@H](C(=O)NC(CC3CCC3)C(=O)C(N)=O)[C@@]1([H])C2(C)C)C(=O)[C@@H](NC(=O)NC(C)(C)C)C(C)(C)C,Hepatobiliary disorders,Human,-3.380211241711606,Repeated,Oral,"EMA approval document: ANNEX I, page:13 PDF 428k",https://www.pharmapendium.com/browse/ema/Boceprevir/3eded3dcf36e4c3ebdde3f8dd5fdd6aa?reference=13,2012.0,[H][C]12CN([CH](C(=O)NC(CC3CCC3)C(=O)C(N)=O)[C]1([H])C2(C)C)C(=O)[CH](NC(=O)NC(C)(C)C)C(C)(C)C
Brexpiprazole,O=C1NC2=CC(OCCCCN3CCN(CC3)C3=C4C=CSC4=CC=C3)=CC=C2C=C1,Hepatobiliary disorders,Human,-0.6020599913279624,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 205422/S-000 Part 04, page:93 PDF 20059k",https://www.pharmapendium.com/browse/fda/Brexpiprazole/00ccb22ace460844be09f496a697ac0d?reference=93,2014.0,O=C1NC2=CC(OCCCCN3CCN(CC3)C3=C4C=CSC4=CC=C3)=CC=C2C=C1
Budesonide,[H][C@@]12C[C@@]3([H])[C@]4([H])CCC5=CC(=O)C=C[C@]5(C)[C@@]4([H])[C@@H](O)C[C@]3(C)[C@@]1(OC(CCC)O2)C(=O)CO,Hepatobiliary disorders,Human,-0.9542425094393249,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 203634/S-000 Part 08, page:6 PDF 1084k",https://www.pharmapendium.com/browse/fda/Budesonide/dc986efb87dae54ab8dad77e712e1898?reference=6,2011.0,[H][C]12C[C]3([H])[C]4([H])CCC5=CC(=O)C=C[C]5(C)[C]4([H])[CH](O)C[C]3(C)[C]1(OC(CCC)O2)C(=O)CO
Buprenorphine,[H][C@@]1(C[C@]23CC[C@@]1(OC)[C@@H]1OC4=C(O)C=CC5=C4[C@]21CCN(CC1CC1)[C@@H]3C5)[C@](C)(O)C(C)(C)C,Hepatobiliary disorders,Human,-1.3010299956639813,Repeated,Skin,"FDA approval package document: Medical/Clinical Review 021306/S-000 Part 09, page:2 PDF 481k",https://www.pharmapendium.com/browse/fda/Buprenorphine/ac81c148b75e5c4579ff9b5361c2a308?reference=2,2010.0,[H][C]1(C[C]23CC[C]1(OC)[CH]1OC4=C(O)C=CC5=C4[C]21CCN(CC1CC1)[CH]3C5)[C](C)(O)C(C)(C)C
Cabotegravir Sodium,[H][C@@]12CN3C=C(C(=O)NCC4=C(F)C=C(F)C=C4)C(=O)C([O-])=C3C(=O)N1[C@@H](C)CO2,Hepatobiliary disorders,Human,-2.6020599913279625,Repeated,Intramuscular,"FDA approval package document: Review 212887/S-000; 212888/S-000 Part 18, page:17 PDF 1560k",https://www.pharmapendium.com/browse/fda/Cabotegravir Sodium/be955c24495f457e89987c3a768ca01f?reference=17,2019.0,[H][C]12CN3C=C(C(=O)NCC4=C(F)C=C(F)C=C4)C(=O)C([O-])=C3C(=O)N1[CH](C)CO2
Cladribine,NC1=NC(Cl)=NC2=C1N=CN2[C@@H]1C[C@H](O)[C@@H](CO)O1,Hepatobiliary disorders,Human,-1.3979400086720377,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 022561/S-000 Part 11, page:160 PDF 23631k",https://www.pharmapendium.com/browse/fda/Cladribine/cdf7c590901bed412a0ba7bd776ef517?reference=160,2010.0,NC1=NC(Cl)=NC2=C1N=CN2[CH]1C[CH](O)[CH](CO)O1
Cobicistat,CC(C)C1=NC(CN(C)C(=O)N[C@@H](CCN2CCOCC2)C(=O)N[C@H](CC[C@H](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)CC2=CC=CC=C2)=CS1,Hepatobiliary disorders,Human,-2.1760912590556813,Repeated,Oral,"EMA approval document: Assessment Report EMA/CHMP/609914/2013; EMEA/H/C/002572/0000, page:63 PDF 1120k",https://www.pharmapendium.com/browse/ema/Cobicistat/0b17670219c561c8ad7f563892377dc6?reference=63,2013.0,CC(C)C1=NC(CN(C)C(=O)N[CH](CCN2CCOCC2)C(=O)N[CH](CC[CH](CC2=CC=CC=C2)NC(=O)OCC2=CN=CS2)CC2=CC=CC=C2)=CS1
Copanlisib Dihydrochloride,COC1=C2N=C(NC(=O)C3=CN=C(N)N=C3)N3CCN=C3C2=CC=C1OCCCN1CCOCC1,Hepatobiliary disorders,Human,-1.4471580313422192,Repeated,Intravenous,"FDA approval package document: Approval Package 209936/S-000 Part 02, page:84 PDF 11850k",https://www.pharmapendium.com/browse/fda/Copanlisib Dihydrochloride/3a7a918dba0779ad831f58c4b35fbbbb?reference=84,2017.0,COC1=C2N=C(NC(=O)C3=CN=C(N)N=C3)N3CCN=C3C2=CC=C1OCCCN1CCOCC1
