Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Acitretin,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C,Hepatocellular injury,Human,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 019821 Part 01, page:1 PDF 7773k",https://www.pharmapendium.com/browse/fda/Acitretin/1a0cb7a639fe6c5d73334f9d95bc1bc6?reference=1,1996.0,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C
Alectinib Hydrochloride,CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C2=O)C2=C(N1)C=C(C=C2)C#N,Hepatocellular injury,Human,-2.7781512503836434,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 208434/S-000 Part 04, page:32 PDF 1103k",https://www.pharmapendium.com/browse/fda/Alectinib Hydrochloride/08016b74dd48063d91356464db4510cb?reference=32,2015.0,CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C2=O)C2=C(N1)C=C(C=C2)C#N
Amiodarone Hydrochloride,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,Hepatocellular injury,Human,-2.9030899869919438,Repeated,Oral,"FDA approval package document: Approval Package 018972/S-014 Part 12, page:42 PDF 5420k",https://www.pharmapendium.com/browse/fda/Amiodarone Hydrochloride/4458ab986d830273f3d667d2639687ad?reference=42,1983.0,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
Amphotericin B Liposome,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@H]([C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@H]1C)O2)C(O)=O,Hepatocellular injury,Human,-0.0,Repeated,Intravenous,"FDA approval package document: Medical Officer Review 050740/S-000 Part 02, page:7 PDF 1675k",https://www.pharmapendium.com/browse/fda/Amphotericin B Liposome/78e250c7992db1f3a1a76c3e77bdf637?reference=7,1997.0,C[CH]1OC(=O)C[CH](O)C[CH](O)CC[CH](O)[CH](O)C[CH](O)C[C]2(O)C[CH](O)[CH]([CH](C[CH](O[CH]3O[CH](C)[CH](O)[CH](N)[CH]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[CH](C)[CH](O)[CH]1C)O2)C(O)=O
Anidulafungin,CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O,Hepatocellular injury,Human,-2.3010299956639813,Repeated,Intravenous,"FDA approval package document: Patient Information Sheet 021632/S-000; 021948/S-000, page:1 PDF 219k",https://www.pharmapendium.com/browse/fda/Anidulafungin/c844d8d0baf33cf36ccc3556ffed12a4?reference=1,2006.0,CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)N[CH]1C[CH](O)[CH](O)NC(=O)[CH]2[CH](O)[CH](C)CN2C(=O)[CH](NC(=O)[CH](NC(=O)[CH]2C[CH](O)CN2C(=O)[CH](NC1=O)[CH](C)O)[CH](O)[CH](O)C1=CC=C(O)C=C1)[CH](C)O
Balsalazide Disodium,OC1=CC=C(C=C1C([O-])=O)\N=N\C1=CC=C(C=C1)C(=O)NCCC([O-])=O,Hepatocellular injury,Human,-4.8750612633917,Repeated,Oral,"FDA approval package document: Label 020610/S-014, page:8 PDF 337k",https://www.pharmapendium.com/browse/fda/Balsalazide Disodium/84390a507bff32ec4c79256e84a73323?reference=8,2006.0,OC1=CC=C(C=C1C([O-])=O)\N=N\C1=CC=C(C=C1)C(=O)NCCC([O-])=O
Benoxaprofen,CC(C(O)=O)C1=CC=C2OC(=NC2=C1)C1=CC=C(Cl)C=C1,Hepatocellular injury,Human,-2.7781512503836434,Repeated,Oral,"FDA approval package document: Approval Package 018250 Part 04, page:19 PDF 10386k",https://www.pharmapendium.com/browse/fda/Benoxaprofen/b9ab0cdd250f97cd27dccfe2b18c1c91?reference=19,1976.0,CC(C(O)=O)C1=CC=C2OC(=NC2=C1)C1=CC=C(Cl)C=C1
Bepridil Hydrochloride,CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1,Hepatocellular injury,Human,-2.4771212547196626,Repeated,Oral,"FDA approval package document: Approval Package 019002 Part 03, page:21 PDF 5181k",https://www.pharmapendium.com/browse/fda/Bepridil Hydrochloride/29c2ba52698e32b31cdc937cc5b63b78?reference=21,1990.0,CC(C)COCC(CN(CC1=CC=CC=C1)C1=CC=CC=C1)N1CCCC1
Bosutinib Monohydrate,COC1=C(Cl)C=C(Cl)C(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C1,Hepatocellular injury,Human,-2.7781512503836434,Repeated,Oral,"EMA approval document: ANNEX I, page:44 PDF 539k",https://www.pharmapendium.com/browse/ema/Bosutinib Monohydrate/137a7ce8622db12be304e68713ed1bbe?reference=44,2021.0,COC1=C(Cl)C=C(Cl)C(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C1
Brigatinib,COC1=CC(=CC=C1NC1=NC(NC2=CC=CC=C2P(C)(C)=O)=C(Cl)C=N1)N1CCC(CC1)N1CCN(C)CC1,Hepatocellular injury,Human,-2.255272505103306,Repeated,Oral,"EMA approval document: Assessment Report EMA/140650/2020; EMEA/H/C/004248/II/0003, page:79 PDF 5666k",https://www.pharmapendium.com/browse/ema/Brigatinib/90bc8094fb1cd300b7ee28bf690bb302?reference=79,2020.0,COC1=CC(=CC=C1NC1=NC(NC2=CC=CC=C2P(C)(C)=O)=C(Cl)C=N1)N1CCC(CC1)N1CCN(C)CC1
