Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Abiraterone Acetate,[H][C@@]12CC=C3C[C@H](CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(=CC[C@@]21[H])C1=CN=CC=C1)OC(C)=O,Hepatomegaly,Human,-3.0,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 202379/S-000 Part 04, page:17 PDF 1116k",https://www.pharmapendium.com/browse/fda/Abiraterone Acetate/c8b107b726c8a60d25ce0b1bfb7056a7?reference=17,2010.0,[H][C]12CC=C3C[CH](CC[C]3(C)[C]1([H])CC[C]1(C)C(=CC[C]21[H])C1=CN=CC=C1)OC(C)=O
Acebutolol Hydrochloride,CCCC(=O)NC1=CC=C(OCC(O)CNC(C)C)C(=C1)C(C)=O,Hepatomegaly,Human,-2.9030899869919438,Repeated,Oral,"FDA approval package document: Approval Package 018917/S-001 Part 05, page:25 PDF 7499k",https://www.pharmapendium.com/browse/fda/Acebutolol Hydrochloride/f4cff23da905a95f3be8717404fe2e49?reference=25,1984.0,CCCC(=O)NC1=CC=C(OCC(O)CNC(C)C)C(=C1)C(C)=O
Acitretin,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C,Hepatomegaly,Human,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 019821 Part 01, page:10 PDF 7773k",https://www.pharmapendium.com/browse/fda/Acitretin/1a0cb7a639fe6c5d73334f9d95bc1bc6?reference=10,1996.0,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C
Adefovir Dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C,Hepatomegaly,Human,-1.0,Repeated,Oral,"EMA approval document: ANNEX I, page:5 PDF 557k",https://www.pharmapendium.com/browse/ema/Adefovir Dipivoxil/2e1895c9ecb48f44229ee0cad2869763?reference=5,2019.0,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C
Alcohol,CCO,Hepatomegaly,Human,-5.477121254719663,Repeated,Oral,Reference from PharmaPendium Published Toxicity: Sertraline-0032b   ---   JOURNAL:British Medical Journal   PAGES:1620   VOLUME:309,,1994.0,CCO
Allopurinol,O=C1NC=NC2=C1C=NN2,Hepatomegaly,Human,-2.7781512503836434,Repeated,Oral,"FDA approval package document: Approval Package 018832, page:15 PDF 5594k",https://www.pharmapendium.com/browse/fda/Allopurinol/52fa5d08d3452a2974c3e85d74125655?reference=15,1984.0,O=C1NC=NC2=C1C=NN2
Aminosalicylic Acid,NC1=CC=C(C(O)=O)C(O)=C1,Hepatomegaly,Human,-4.079181246047625,Repeated,Unreported,Reference from PharmaPendium Published Toxicity: Para-Aminosalicylic Acid62   ---   DOI:10.1182/blood.v10.1.62.62   JOURNAL:Blood   PAGES:62   VOLUME:10,http://dx.doi.org/10.1182/blood.v10.1.62.62,1955.0,NC1=CC=C(C(O)=O)C(O)=C1
Amiodarone Hydrochloride,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,Hepatomegaly,Human,-3.2041199826559246,Repeated,Oral,"FDA approval package document: Approval Package 018972/S-000 Part 03, page:2 PDF 1267k",https://www.pharmapendium.com/browse/fda/Amiodarone Hydrochloride/9927ae62091ed036e8bba39ea3d91be4?reference=2,1988.0,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
Amphotericin B,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,Hepatomegaly,Human,-0.6989700043360189,Repeated,Intravenous,"FDA approval package document: Approval Package 050724 Part 04, page:6 PDF 4130k",https://www.pharmapendium.com/browse/fda/Amphotericin B/2d9ca1b6cf96fb8db3da224d7e9e499f?reference=6,1995.0,[H][C]12C[CH](O[CH]3O[CH](C)[CH](O)[CH](N)[CH]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[CH](C)[CH](O)[CH](C)[CH](C)OC(=O)C[CH](O)C[CH](O)CC[CH](O)[CH](O)C[CH](O)C[C](O)(C[CH](O)[CH]1C(O)=O)O2
Anidulafungin,CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)N[C@H]1C[C@@H](O)[C@@H](O)NC(=O)[C@@H]2[C@@H](O)[C@@H](C)CN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)C1=CC=C(O)C=C1)[C@@H](C)O,Hepatomegaly,Human,-0.6989700043360189,Repeated,Intravenous,"EMA approval document: Assessment Report EMA/916359/2019; EMEA/H/C/000788/P46/046, page:30 PDF 1307k",https://www.pharmapendium.com/browse/ema/Anidulafungin/8db8b31deadd98115829b6333f16e5f2?reference=30,2018.0,CCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C1=CC=C(C=C1)C(=O)N[CH]1C[CH](O)[CH](O)NC(=O)[CH]2[CH](O)[CH](C)CN2C(=O)[CH](NC(=O)[CH](NC(=O)[CH]2C[CH](O)CN2C(=O)[CH](NC1=O)[CH](C)O)[CH](O)[CH](O)C1=CC=C(O)C=C1)[CH](C)O
