Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Abemaciclib,CCN1CCN(CC1)CC1=CC=C(NC2=NC=C(F)C(=N2)C2=CC3=C(N=C(C)N3C(C)C)C(F)=C2)N=C1,Hepatotoxicity,Human,-2.3010299956639813,Repeated,Oral,"FDA approval package document: Approval Package 208716/S-000 Part 09, page:15 PDF 678k",https://www.pharmapendium.com/browse/fda/Abemaciclib/a50315d3a726a8049e1d15f32cd253cf?reference=15,2017.0,CCN1CCN(CC1)CC1=CC=C(NC2=NC=C(F)C(=N2)C2=CC3=C(N=C(C)N3C(C)C)C(F)=C2)N=C1
Abiraterone Acetate,[H][C@@]12CC=C3C[C@H](CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(=CC[C@@]21[H])C1=CN=CC=C1)OC(C)=O,Hepatotoxicity,Human,-3.0,Repeated,Oral,"EMA approval document: Assessment Report EMA/CHMP/755312/2012; EMA/CHMP/755312/2012, page:38 PDF 1099k",https://www.pharmapendium.com/browse/ema/Abiraterone Acetate/ae6301d3961125608b3085a6feca6f2b?reference=38,2012.0,[H][C]12CC=C3C[CH](CC[C]3(C)[C]1([H])CC[C]1(C)C(=CC[C]21[H])C1=CN=CC=C1)OC(C)=O
Acalabrutinib,CC#CC(=O)N1CCC[C@H]1C1=NC(C2=CC=C(C=C2)C(=O)NC2=NC=CC=C2)=C2N1C=CN=C2N,Hepatotoxicity,Human,-2.0,Repeated,Oral,"EMA approval document: Public Assessment Report EMA/CHMP/458179/2020; EMEA/H/C/005299/0000, page:142 PDF 6861k",https://www.pharmapendium.com/browse/ema/Acalabrutinib/7556c0cd9112408ddad445104df64083?reference=142,2020.0,CC#CC(=O)N1CCC[CH]1C1=NC(C2=CC=C(C=C2)C(=O)NC2=NC=CC=C2)=C2N1C=CN=C2N
Aceclofenac,OC(=O)COC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,Hepatotoxicity,Human,-2.3010299956639813,Repeated,Oral,Reference from PharmaPendium Published Toxicity: Aceclofenac225   ---   JOURNAL:Journal of Therapeutics and Clinical Risk Management   PAGES:225   VOLUME:3,,2007.0,OC(=O)COC(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
Acetaminophen,CC(=O)NC1=CC=C(O)C=C1,Hepatotoxicity,Human,-0.6020599913279624,Repeated,Intravenous,"FDA approval package document: Medical/Clinical Review 022450/S-000 Part 02, page:17 PDF 945k",https://www.pharmapendium.com/browse/fda/Acetaminophen/3ab04f7a30d200f175f38314ad42ec5f?reference=17,2009.0,CC(=O)NC1=CC=C(O)C=C1
Acitretin,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C,Hepatotoxicity,Human,-1.3979400086720377,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 019821, page:16 PDF 633k",https://www.pharmapendium.com/browse/fda/Acitretin/e52afb1fe8baa8e5ab992ef5ebed3ba5?reference=16,1994.0,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C
Agomelatine,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1,Hepatotoxicity,Human,-1.6989700043360187,Repeated,Oral,"EMA approval document: Other Information from EMA EMA/740413/2013; EMEA/H/C/000916/PSUV/0017, page:2 PDF 46k",https://www.pharmapendium.com/browse/ema/Agomelatine/28e1d134bae50a9de79e259a2140c188?reference=2,2013.0,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1
Alectinib Hydrochloride,CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C2=O)C2=C(N1)C=C(C=C2)C#N,Hepatotoxicity,Human,-2.7781512503836434,Repeated,Oral,"EMA approval document: ANNEX I, page:5 PDF 559k",https://www.pharmapendium.com/browse/ema/Alectinib Hydrochloride/c2ffb37bb4eeb11ca5e0a8ff296b9e86?reference=5,2020.0,CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C2=O)C2=C(N1)C=C(C=C2)C#N
Alosetron Hydrochloride,CN1C2=C(C(=O)N(CC2)CC2=C(C)NC=N2)C2=C1C=CC=C2,Hepatotoxicity,Human,-0.0,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 021107/S-000 Part 09, page:13 PDF 694k",https://www.pharmapendium.com/browse/fda/Alosetron Hydrochloride/3660ebbe68e238ea21b2ccbe02a90b27?reference=13,1999.0,CN1C2=C(C(=O)N(CC2)CC2=C(C)NC=N2)C2=C1C=CC=C2
Ambrisentan,COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1,Hepatotoxicity,Human,-1.0,Repeated,Oral,"FDA approval package document: Approval Package 022081/S-017 Part 05, page:50 PDF 6131k",https://www.pharmapendium.com/browse/fda/Ambrisentan/7eb36e2aef104a107f4e978fef0262de?reference=50,2011.0,COC([CH](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1
Aminoglutethimide,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1,Hepatotoxicity,Human,-3.3010299956639813,Repeated,Oral,"FDA approval package document: Approval Package 018202/S-014 Part 01, page:42 PDF 4351k",https://www.pharmapendium.com/browse/fda/Aminoglutethimide/261e6bcd70ef7293ed647d32e5e8ca20?reference=42,1979.0,CCC1(CCC(=O)NC1=O)C1=CC=C(N)C=C1
Amiodarone Hydrochloride,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,Hepatotoxicity,Human,-2.9030899869919438,Repeated,Oral,"FDA approval package document: Approval Package 018972/S-014 Part 12, page:14 PDF 5420k",https://www.pharmapendium.com/browse/fda/Amiodarone Hydrochloride/4458ab986d830273f3d667d2639687ad?reference=14,1983.0,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
Amlexanox,CC(C)C1=CC=C2OC3=NC(N)=C(C=C3C(=O)C2=C1)C(O)=O,Hepatotoxicity,Human,-0.3010299956639812,Repeated,Buccal,"FDA approval package document: Statistical Review 021727/S-000 Part 01, page:63 PDF 4968k",https://www.pharmapendium.com/browse/fda/Amlexanox/db5082887041e58329be6e73e96e7072?reference=63,2004.0,CC(C)C1=CC=C2OC3=NC(N)=C(C=C3C(=O)C2=C1)C(O)=O
Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)C(=O)N2[C@H]1C(O)=O,Hepatotoxicity,Human,-1.0791812460476249,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 050542/S-017; 050754/S-002; 050760/S-001; 050761/S-001, page:4 PDF 275k",https://www.pharmapendium.com/browse/fda/Amoxicillin/079f6473e812ed6a6222837d00e49d6e?reference=4,1999.0,CC1(C)S[CH]2[CH](NC(=O)[CH](N)C3=CC=C(O)C=C3)C(=O)N2[CH]1C(O)=O
