Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Abiraterone Acetate,[H][C@@]12CC=C3C[C@H](CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(=CC[C@@]21[H])C1=CN=CC=C1)OC(C)=O,Hyperbilirubinaemia,Human,-1.4471580313422192,Repeated,Oral,"EMA approval document: Assessment Report EMA/816845/2017; EMEA/H/C/002321/II/0047, page:62 PDF 2976k",https://www.pharmapendium.com/browse/ema/Abiraterone Acetate/86acf11df880ab20652cf1e1345955c2?reference=62,2017.0,[H][C]12CC=C3C[CH](CC[C]3(C)[C]1([H])CC[C]1(C)C(=CC[C]21[H])C1=CN=CC=C1)OC(C)=O
Acalabrutinib,CC#CC(=O)N1CCC[C@H]1C1=NC(C2=CC=C(C=C2)C(=O)NC2=NC=CC=C2)=C2N1C=CN=C2N,Hyperbilirubinaemia,Human,-2.0,Repeated,Oral,"FDA approval package document: Approval Package 210259/S-006; 210259/S-007 Part 16, page:21 PDF 7375k",https://www.pharmapendium.com/browse/fda/Acalabrutinib/efa223c1346a408063449cedd71ec87a?reference=21,2019.0,CC#CC(=O)N1CCC[CH]1C1=NC(C2=CC=C(C=C2)C(=O)NC2=NC=CC=C2)=C2N1C=CN=C2N
Acitretin,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C,Hyperbilirubinaemia,Human,-1.3979400086720377,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 019821, page:14 PDF 633k",https://www.pharmapendium.com/browse/fda/Acitretin/e52afb1fe8baa8e5ab992ef5ebed3ba5?reference=14,1994.0,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C
Adefovir Dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C,Hyperbilirubinaemia,Human,-1.4771212547196624,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 021449/S-000 Part 02, page:57 PDF 1758k",https://www.pharmapendium.com/browse/fda/Adefovir Dipivoxil/f59feb319af20abdd484a192c72a1024?reference=57,,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C
Alectinib Hydrochloride,CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C2=O)C2=C(N1)C=C(C=C2)C#N,Hyperbilirubinaemia,Human,-1.4471580313422192,Repeated,Oral,"EMA approval document: Assessment Report EMA/CHMP/833519/2017; EMEA/H/C/004164/II/0001, page:52 PDF 3057k",https://www.pharmapendium.com/browse/ema/Alectinib Hydrochloride/8ab8d439156bfc0390f0e486e2991bb9?reference=52,2017.0,CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C2=O)C2=C(N1)C=C(C=C2)C#N
Allopurinol,O=C1NC=NC2=C1C=NN2,Hyperbilirubinaemia,Human,-2.7781512503836434,Repeated,Oral,"FDA approval package document: Approval Package 018832, page:43 PDF 5594k",https://www.pharmapendium.com/browse/fda/Allopurinol/52fa5d08d3452a2974c3e85d74125655?reference=43,1984.0,O=C1NC=NC2=C1C=NN2
Amifampridine,NC1=CC=NC=C1N,Hyperbilirubinaemia,Human,-2.2430380486862944,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 020932/S-000 Part 05, page:9 PDF 1500k",https://www.pharmapendium.com/browse/fda/Amifampridine/4ddaa96b28d6d1ece0eeb70141eba5a5?reference=9,2019.0,NC1=CC=NC=C1N
Amphotericin B,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,Hyperbilirubinaemia,Human,0.0,Repeated,Intravenous,"FDA approval package document: Approval Package 050724 Part 01, page:54 PDF 6223k",https://www.pharmapendium.com/browse/fda/Amphotericin B/d0bf86ad757877fb6802e13c91e66f48?reference=54,1995.0,[H][C]12C[CH](O[CH]3O[CH](C)[CH](O)[CH](N)[CH]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[CH](C)[CH](O)[CH](C)[CH](C)OC(=O)C[CH](O)C[CH](O)CC[CH](O)[CH](O)C[CH](O)C[C](O)(C[CH](O)[CH]1C(O)=O)O2
Amphotericin B Liposome,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@H]([C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@H]1C)O2)C(O)=O,Hyperbilirubinaemia,Human,-0.7781512503836436,Repeated,Intravenous,"FDA approval package document: Medical/Clinical Review 050740/S-002, page:31 PDF 1114k",https://www.pharmapendium.com/browse/fda/Amphotericin B Liposome/5901aee1119f21ffb118dbbaee8276f9?reference=31,1999.0,C[CH]1OC(=O)C[CH](O)C[CH](O)CC[CH](O)[CH](O)C[CH](O)C[C]2(O)C[CH](O)[CH]([CH](C[CH](O[CH]3O[CH](C)[CH](O)[CH](N)[CH]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[CH](C)[CH](O)[CH]1C)O2)C(O)=O
Amprenavir,CC(C)CN(C[C@@H](O)[C@H](CC1=CC=CC=C1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1,Hyperbilirubinaemia,Human,-3.380211241711606,Repeated,Oral,"EMA approval document: ANNEX I, page:13 PDF 634k",https://www.pharmapendium.com/browse/ema/Amprenavir/af4bbc923d27123891d7d34e87c62e50?reference=13,2011.0,CC(C)CN(C[CH](O)[CH](CC1=CC=CC=C1)NC(=O)O[CH]1CCOC1)S(=O)(=O)C1=CC=C(N)C=C1
