Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Abiraterone Acetate,[H][C@@]12CC=C3C[C@H](CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(=CC[C@@]21[H])C1=CN=CC=C1)OC(C)=O,Jaundice,Human,-3.0,Repeated,Oral,"FDA approval package document: Approval Package 202379/S-005 Part 02, page:24 PDF 11481k",https://www.pharmapendium.com/browse/fda/Abiraterone Acetate/9c3b3e563560fa0130081aaa6af9d8c4?reference=24,2012.0,[H][C]12CC=C3C[CH](CC[C]3(C)[C]1([H])CC[C]1(C)C(=CC[C]21[H])C1=CN=CC=C1)OC(C)=O
Acalabrutinib,CC#CC(=O)N1CCC[C@H]1C1=NC(C2=CC=C(C=C2)C(=O)NC2=NC=CC=C2)=C2N1C=CN=C2N,Jaundice,Human,-2.0,Repeated,Oral,"EMA approval document: ANNEX I, page:39 PDF 288k",https://www.pharmapendium.com/browse/ema/Acalabrutinib/5e6c422fffed9e24fbcf6128dba2134c?reference=39,2020.0,CC#CC(=O)N1CCC[CH]1C1=NC(C2=CC=C(C=C2)C(=O)NC2=NC=CC=C2)=C2N1C=CN=C2N
Acarbose,C[C@H]1O[C@H](O[C@@H]2[C@@H](CO)O[C@H](O[C@@H]3[C@@H](CO)OC(O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1N[C@H]1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O,Jaundice,Human,-2.1760912590556813,Repeated,Oral,"FDA approval package document: Approval Package 020482/S-001, S003, S004, S005, S006, S-009 Part 03, page:50 PDF 2583k",https://www.pharmapendium.com/browse/fda/Acarbose/266f462ff01cd4cf4b561b7a08b7a59d?reference=50,1995.0,C[CH]1O[CH](O[CH]2[CH](CO)O[CH](O[CH]3[CH](CO)OC(O)[CH](O)[CH]3O)[CH](O)[CH]2O)[CH](O)[CH](O)[CH]1N[CH]1C=C(CO)[CH](O)[CH](O)[CH]1O
Adefovir Dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C,Jaundice,Human,-1.0,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 021449/S-000 Part 01, page:58 PDF 1882k",https://www.pharmapendium.com/browse/fda/Adefovir Dipivoxil/fd32899894085e0f71dd0ff92984a2fa?reference=58,,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C1N=CN=C2N)OCOC(=O)C(C)(C)C
Agomelatine,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1,Jaundice,Human,-1.3979400086720377,Repeated,Oral,"EMA approval document: ANNEX I, page:3 PDF 445k",https://www.pharmapendium.com/browse/ema/Agomelatine/8f1a8e32ead8fc917201fd71a0b5d214?reference=3,2020.0,COC1=CC2=C(CCNC(C)=O)C=CC=C2C=C1
Alprazolam,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12,Jaundice,Human,-0.7781512503836436,Repeated,Oral,"FDA approval package document: Printed Labeling 021726/S-000, page:16 PDF 1977k",https://www.pharmapendium.com/browse/fda/Alprazolam/1df31e0b37180d1cffaefc2ea15e6eca?reference=16,,CC1=NN=C2CN=C(C3=CC=CC=C3)C3=C(C=CC(Cl)=C3)N12
Amifampridine,NC1=CC=NC=C1N,Jaundice,Human,-2.2430380486862944,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 020932/S-000 Part 05, page:9 PDF 1500k",https://www.pharmapendium.com/browse/fda/Amifampridine/4ddaa96b28d6d1ece0eeb70141eba5a5?reference=9,2019.0,NC1=CC=NC=C1N
Aminosalicylic Acid,NC1=CC=C(C(O)=O)C(O)=C1,Jaundice,Human,-3.6020599913279625,Repeated,Oral,"FDA approval package document: Approval Package 006924, page:4 PDF 675k",https://www.pharmapendium.com/browse/fda/Aminosalicylic Acid/0e570efeadba8d5ab058994c07b64375?reference=4,,NC1=CC=C(C(O)=O)C(O)=C1
Amiodarone Hydrochloride,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1,Jaundice,Human,-2.9030899869919438,Repeated,Oral,"FDA approval package document: Approval Package 018972/S-014 Part 18, page:4 PDF 5937k",https://www.pharmapendium.com/browse/fda/Amiodarone Hydrochloride/f61559ce465d19b11a15e17eb7a4e51c?reference=4,1983.0,CCCCC1=C(C(=O)C2=CC(I)=C(OCCN(CC)CC)C(I)=C2)C2=CC=CC=C2O1
Amlexanox,CC(C)C1=CC=C2OC3=NC(N)=C(C=C3C(=O)C2=C1)C(O)=O,Jaundice,Human,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 020511/S-000, page:28 PDF 7022k",https://www.pharmapendium.com/browse/fda/Amlexanox/1476b403d08e8c472cac41c7c6f777c2?reference=28,1996.0,CC(C)C1=CC=C2OC3=NC(N)=C(C=C3C(=O)C2=C1)C(O)=O
Amphotericin B,[H][C@]12C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[C@H](C)[C@@H](O)[C@@H](C)[C@H](C)OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@](O)(C[C@H](O)[C@H]1C(O)=O)O2,Jaundice,Human,-0.6989700043360189,Repeated,Intravenous,"FDA approval package document: Approval Package 050724 Part 04, page:6 PDF 4130k",https://www.pharmapendium.com/browse/fda/Amphotericin B/2d9ca1b6cf96fb8db3da224d7e9e499f?reference=6,1995.0,[H][C]12C[CH](O[CH]3O[CH](C)[CH](O)[CH](N)[CH]3O)\C=C\C=C\C=C\C=C\C=C\C=C\C=C\[CH](C)[CH](O)[CH](C)[CH](C)OC(=O)C[CH](O)C[CH](O)CC[CH](O)[CH](O)C[CH](O)C[C](O)(C[CH](O)[CH]1C(O)=O)O2
