Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Abemaciclib,CCN1CCN(CC1)CC1=CC=C(NC2=NC=C(F)C(=N2)C2=CC3=C(N=C(C)N3C(C)C)C(F)=C2)N=C1,Liver injury,Human,-2.3010299956639813,Repeated,Oral,"FDA approval package document: Approval Package 208716/S-000 Part 02, page:3 PDF 572k",https://www.pharmapendium.com/browse/fda/Abemaciclib/f42a829c35848fcfc7f39855ba4b2d51?reference=3,2017.0,CCN1CCN(CC1)CC1=CC=C(NC2=NC=C(F)C(=N2)C2=CC3=C(N=C(C)N3C(C)C)C(F)=C2)N=C1
Abiraterone Acetate,[H][C@@]12CC=C3C[C@H](CC[C@]3(C)[C@@]1([H])CC[C@]1(C)C(=CC[C@@]21[H])C1=CN=CC=C1)OC(C)=O,Liver injury,Human,-3.0,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 202379/S-000 Part 04, page:30 PDF 1116k",https://www.pharmapendium.com/browse/fda/Abiraterone Acetate/c8b107b726c8a60d25ce0b1bfb7056a7?reference=30,2010.0,[H][C]12CC=C3C[CH](CC[C]3(C)[C]1([H])CC[C]1(C)C(=CC[C]21[H])C1=CN=CC=C1)OC(C)=O
Acetaminophen,CC(=O)NC1=CC=C(O)C=C1,Liver injury,Human,-0.9030899869919435,Repeated,Intravenous,"FDA approval package document: Medical/Clinical Review 022450, page:47 PDF 2564k",https://www.pharmapendium.com/browse/fda/Acetaminophen/83f8128ea8e6ce0b48b9c4616e72f373?reference=47,2009.0,CC(=O)NC1=CC=C(O)C=C1
Alectinib Hydrochloride,CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C2=O)C2=C(N1)C=C(C=C2)C#N,Liver injury,Human,-2.7781512503836434,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 208434/S-000 Part 04, page:31 PDF 1103k",https://www.pharmapendium.com/browse/fda/Alectinib Hydrochloride/08016b74dd48063d91356464db4510cb?reference=31,2015.0,CCC1=CC2=C(C=C1N1CCC(CC1)N1CCOCC1)C(C)(C)C1=C(C2=O)C2=C(N1)C=C(C=C2)C#N
Ambrisentan,COC([C@H](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1,Liver injury,Human,-1.0,Repeated,Oral,"FDA approval package document: Approval Package 022081/S-017 Part 05, page:46 PDF 6131k",https://www.pharmapendium.com/browse/fda/Ambrisentan/7eb36e2aef104a107f4e978fef0262de?reference=46,2011.0,COC([CH](OC1=NC(C)=CC(C)=N1)C(O)=O)(C1=CC=CC=C1)C1=CC=CC=C1
Apixaban,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O,Liver injury,Human,-1.3010299956639813,Repeated,Oral,"EMA approval document: Assessment Report EMA/478338/2014; EMEA/H/C/002148/II/0014/G, page:82 PDF 2588k",https://www.pharmapendium.com/browse/ema/Apixaban/63204c7b176325279d63eef03f2d71ff?reference=82,2014.0,COC1=CC=C(C=C1)N1N=C(C(N)=O)C2=C1C(=O)N(CC2)C1=CC=C(C=C1)N1CCCCC1=O
Aripiprazole,ClC1=CC=CC(N2CCN(CCCCOC3=CC=C4CCC(=O)NC4=C3)CC2)=C1Cl,Liver injury,Human,-1.4771212547196624,Repeated,Oral,"FDA approval package document: Approval Package 021436/S-019, S-020, S-022; 021713/S-014 Part 11, page:7 PDF 469k",https://www.pharmapendium.com/browse/fda/Aripiprazole/fd3d55b51b2ac8211beb1b1f392661d5?reference=7,2008.0,ClC1=CC=CC(N2CCN(CCCCOC3=CC=C4CCC(=O)NC4=C3)CC2)=C1Cl
Atorvastatin Calcium,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(C2=CC=CC=C2)=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1,Liver injury,Human,-1.9030899869919435,Repeated,Oral,"FDA approval package document: Approval Package 020702/S-060 Part 04, page:14 PDF 4355k",https://www.pharmapendium.com/browse/fda/Atorvastatin Calcium/1d336d10697716750826d49291f8cc74?reference=14,2012.0,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(C2=CC=CC=C2)=C(N1CC[CH](O)C[CH](O)CC([O-])=O)C1=CC=C(F)C=C1
Benoxaprofen,CC(C(O)=O)C1=CC=C2OC(=NC2=C1)C1=CC=C(Cl)C=C1,Liver injury,Human,-2.7781512503836434,Repeated,Oral,"FDA approval package document: Approval Package 018250 Part 04, page:75 PDF 10386k",https://www.pharmapendium.com/browse/fda/Benoxaprofen/b9ab0cdd250f97cd27dccfe2b18c1c91?reference=75,1976.0,CC(C(O)=O)C1=CC=C2OC(=NC2=C1)C1=CC=C(Cl)C=C1
Bicalutamide,CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC=C(C#N)C(=C1)C(F)(F)F,Liver injury,Human,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Label 022310/S-000, page:5 PDF 1277k",https://www.pharmapendium.com/browse/fda/Bicalutamide/5848b88922e842c26c1086584dabe239?reference=5,2008.0,CC(O)(CS(=O)(=O)C1=CC=C(F)C=C1)C(=O)NC1=CC=C(C#N)C(=C1)C(F)(F)F
