Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Acitretin,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C,Hepatitis toxic,Human,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 019821/S-002, S-006 Part 01, page:74 PDF 6897k",https://www.pharmapendium.com/browse/fda/Acitretin/9bb9102bcf8cafa35649a3d5c34340bb?reference=74,2003.0,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C
Benznidazole,O=C(CN1C=CN=C1N(=O)=O)NCC1=CC=CC=C1,Hepatitis toxic,Human,-0.6989700043360189,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 209570/S-000 Part 11, page:23 PDF 812k",https://www.pharmapendium.com/browse/fda/Benznidazole/e20dfb23182e24162b563c91b17106a2?reference=23,2017.0,O=C(CN1C=CN=C1N(=O)=O)NCC1=CC=CC=C1
Bosutinib Monohydrate,COC1=C(Cl)C=C(Cl)C(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C1,Hepatitis toxic,Human,-2.6989700043360187,Repeated,Oral,"FDA approval package document: Label 203341/S-000 Part 01, page:8 PDF 255k",https://www.pharmapendium.com/browse/fda/Bosutinib Monohydrate/7cc0c4a61ee492874395acfd95f0c9f8?reference=8,2012.0,COC1=C(Cl)C=C(Cl)C(NC2=C(C=NC3=CC(OCCCN4CCN(C)CC4)=C(OC)C=C23)C#N)=C1
Cabotegravir Sodium,[H][C@@]12CN3C=C(C(=O)NCC4=C(F)C=C(F)C=C4)C(=O)C([O-])=C3C(=O)N1[C@@H](C)CO2,Hepatitis toxic,Human,-2.6020599913279625,Repeated,Intramuscular,"FDA approval package document: Review 212887/S-000; 212888/S-000 Part 18, page:17 PDF 1560k",https://www.pharmapendium.com/browse/fda/Cabotegravir Sodium/be955c24495f457e89987c3a768ca01f?reference=17,2019.0,[H][C]12CN3C=C(C(=O)NCC4=C(F)C=C(F)C=C4)C(=O)C([O-])=C3C(=O)N1[CH](C)CO2
Cariprazine Hydrochloride,CN(C)C(=O)N[C@H]1CC[C@@H](CC1)CCN1CCN(CC1)C1=CC=CC(Cl)=C1Cl,Hepatitis toxic,Human,-0.7781512503836436,Repeated,Oral,"EMA approval document: ANNEX I, page:9 PDF 828k",https://www.pharmapendium.com/browse/ema/Cariprazine Hydrochloride/37b6b5a2094b91fc4f67d843664456b6?reference=9,2018.0,CN(C)C(=O)N[CH]1CC[CH](CC1)CCN1CCN(CC1)C1=CC=CC(Cl)=C1Cl
Chenodiol,[H][C@@]12C[C@H](O)CC[C@]1(C)[C@@]1([H])CC[C@]3(C)[C@]([H])(CC[C@@]3([H])[C@]1([H])[C@H](O)C2)[C@H](C)CCC(O)=O,Hepatitis toxic,Human,-3.0,Repeated,Oral,"EMA approval document: Assessment Report EMA/650359/2016; EMEA/H/C/004061/0000, page:37 PDF 1218k",https://www.pharmapendium.com/browse/ema/Chenodiol/575b62dfe0d2e24f00c5f033f50d106e?reference=37,2016.0,[H][C]12C[CH](O)CC[C]1(C)[C]1([H])CC[C]3(C)[C]([H])(CC[C]3([H])[C]1([H])[CH](O)C2)[CH](C)CCC(O)=O
Cladribine,NC1=NC(Cl)=NC2=C1N=CN2[C@@H]1C[C@H](O)[C@@H](CO)O1,Hepatitis toxic,Human,-0.6989700043360189,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 022561/S-000 Part 11, page:57 PDF 23631k",https://www.pharmapendium.com/browse/fda/Cladribine/cdf7c590901bed412a0ba7bd776ef517?reference=57,2010.0,NC1=NC(Cl)=NC2=C1N=CN2[CH]1C[CH](O)[CH](CO)O1
Deferasirox,OC(=O)C1=CC=C(C=C1)N1N=C(N=C1C1=CC=CC=C1O)C1=CC=CC=C1O,Hepatitis toxic,Human,-1.4771212547196624,Repeated,Oral,"EMA approval document: Assessment Report EMA/CHMP/763315/2016; EMEA/H/C/000670/P46/060.1, page:20 PDF 2575k",https://www.pharmapendium.com/browse/ema/Deferasirox/84caa1d7e3747e30027b83e9c1c039ab?reference=20,2016.0,OC(=O)C1=CC=C(C=C1)N1N=C(N=C1C1=CC=CC=C1O)C1=CC=CC=C1O
Diclofenac Sodium,[O-]C(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl,Hepatitis toxic,Human,-2.0,Repeated,Oral,"FDA approval package document: Approval Package 019201/S-001, S-002, S-003, S-005, S-007, S-009, S-010, S-013, S-014, S-015, S-019, S-021 Part 06, page:57 PDF 5413k",https://www.pharmapendium.com/browse/fda/Diclofenac Sodium/c56ad2267611ad95c9ab82329518aad8?reference=57,1988.0,[O-]C(=O)CC1=CC=CC=C1NC1=C(Cl)C=CC=C1Cl
Dolutegravir Sodium,[H][C@]12CN3C=C(C(=O)NCC4=CC=C(F)C=C4F)C(=O)C([O-])=C3C(=O)N1[C@H](C)CCO2,Hepatitis toxic,Human,-2.0,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 204790 Part 04, page:26 PDF 7848k",https://www.pharmapendium.com/browse/fda/Dolutegravir Sodium/1ad0a2b9727ce58261902f144c3cb335?reference=26,2012.0,[H][C]12CN3C=C(C(=O)NCC4=CC=C(F)C=C4F)C(=O)C([O-])=C3C(=O)N1[CH](C)CCO2
