Drug,Chemical Structure,Adverse Effect / Toxicity,Species,Dose,Dose Type,Route,Source,Source Link,Year,no_stereoisomer
Acalabrutinib,CC#CC(=O)N1CCC[C@H]1C1=NC(C2=CC=C(C=C2)C(=O)NC2=NC=CC=C2)=C2N1C=CN=C2N,Jaundice cholestatic,Human,-1.4471580313422192,Repeated,Oral,"FDA approval package document: Approval Package 210259/S-000 Part 07, page:13 PDF 479k",https://www.pharmapendium.com/browse/fda/Acalabrutinib/790d7b2ca966a263cae6a013477587ca?reference=13,2017.0,CC#CC(=O)N1CCC[CH]1C1=NC(C2=CC=C(C=C2)C(=O)NC2=NC=CC=C2)=C2N1C=CN=C2N
Acetazolamide Sodium,C\C([O-])=N\C1=NN=C(S1)S(N)(=O)=O,Jaundice cholestatic,Human,-2.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 012945/S-037, S-038 Part 02, page:8 PDF 504k",https://www.pharmapendium.com/browse/fda/Acetazolamide Sodium/e5d463a87cd4eaec3059a7a016e6cf9b?reference=8,2005.0,C\C([O-])=N\C1=NN=C(S1)S(N)(=O)=O
Acitretin,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C,Jaundice cholestatic,Human,-1.6989700043360187,Repeated,Oral,"FDA approval package document: Approval Package 019821 Part 01, page:18 PDF 7773k",https://www.pharmapendium.com/browse/fda/Acitretin/1a0cb7a639fe6c5d73334f9d95bc1bc6?reference=18,1996.0,COC1=CC(C)=C(\C=C\C(C)=C\C=C\C(C)=C\C(O)=O)C(C)=C1C
Allopurinol,O=C1NC=NC2=C1C=NN2,Jaundice cholestatic,Human,-2.7781512503836434,Repeated,Oral,"FDA approval package document: Approval Package 018832, page:42 PDF 5594k",https://www.pharmapendium.com/browse/fda/Allopurinol/52fa5d08d3452a2974c3e85d74125655?reference=42,1984.0,O=C1NC=NC2=C1C=NN2
Amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)C3=CC=C(O)C=C3)C(=O)N2[C@H]1C(O)=O,Jaundice cholestatic,Human,-1.0791812460476249,Repeated,Oral,"FDA approval package document: Medical/Clinical Review 050542/S-017; 050754/S-002; 050760/S-001; 050761/S-001, page:3 PDF 275k",https://www.pharmapendium.com/browse/fda/Amoxicillin/079f6473e812ed6a6222837d00e49d6e?reference=3,1999.0,CC1(C)S[CH]2[CH](NC(=O)[CH](N)C3=CC=C(O)C=C3)C(=O)N2[CH]1C(O)=O
Atorvastatin Calcium,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(C2=CC=CC=C2)=C(N1CC[C@@H](O)C[C@@H](O)CC([O-])=O)C1=CC=C(F)C=C1,Jaundice cholestatic,Human,-1.9030899869919435,Repeated,Oral,"FDA approval package document: Approval Package 020702/S-037, page:24 PDF 2047k",https://www.pharmapendium.com/browse/fda/Atorvastatin Calcium/fb544a73701cb3a86100cd83790934e0?reference=24,2003.0,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(C2=CC=CC=C2)=C(N1CC[CH](O)C[CH](O)CC([O-])=O)C1=CC=C(F)C=C1
Azithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)CN(C)[C@H](C)[C@@H](O)[C@]1(C)O,Jaundice cholestatic,Human,-0.47712125471966244,Repeated,Oral,"FDA approval package document: Approval Package 065488/S-002 Part 01, page:14 PDF 2508k",https://www.pharmapendium.com/browse/fda/Azithromycin/6dbfdbc999ef9120663ed3d70f42ef80?reference=14,2017.0,CC[CH]1OC(=O)[CH](C)[CH](O[CH]2C[C](C)(OC)[CH](O)[CH](C)O2)[CH](C)[CH](O[CH]2O[CH](C)C[CH]([CH]2O)N(C)C)[C](C)(O)C[CH](C)CN(C)[CH](C)[CH](O)[C]1(C)O
Balsalazide Disodium,OC1=CC=C(C=C1C([O-])=O)\N=N\C1=CC=C(C=C1)C(=O)NCCC([O-])=O,Jaundice cholestatic,Human,-4.8750612633917,Repeated,Oral,"FDA approval package document: Label 020610/S-014, page:8 PDF 337k",https://www.pharmapendium.com/browse/fda/Balsalazide Disodium/84390a507bff32ec4c79256e84a73323?reference=8,2006.0,OC1=CC=C(C=C1C([O-])=O)\N=N\C1=CC=C(C=C1)C(=O)NCCC([O-])=O
Benoxaprofen,CC(C(O)=O)C1=CC=C2OC(=NC2=C1)C1=CC=C(Cl)C=C1,Jaundice cholestatic,Human,-2.7781512503836434,Repeated,Oral,"FDA approval package document: Approval Package 018250 Part 04, page:19 PDF 10386k",https://www.pharmapendium.com/browse/fda/Benoxaprofen/b9ab0cdd250f97cd27dccfe2b18c1c91?reference=19,1976.0,CC(C(O)=O)C1=CC=C2OC(=NC2=C1)C1=CC=C(Cl)C=C1
Bexarotene,CC1=C(C=C2C(=C1)C(C)(C)CCC2(C)C)C(=C)C1=CC=C(C=C1)C(O)=O,Jaundice cholestatic,Human,-0.3010299956639812,Repeated,Oral,"EMA approval document: Scientific Discussion, page:27 PDF 363k",https://www.pharmapendium.com/browse/ema/Bexarotene/b56a38ca9c622c74a3b314e15ba11c9a?reference=27,2004.0,CC1=C(C=C2C(=C1)C(C)(C)CCC2(C)C)C(=C)C1=CC=C(C=C1)C(O)=O
