EC50_0,SMILES,EC50_1,EC50_2,EC50_3,EC50_4,EC50_5,EC50_6,EC50_7,EC50_8,EC50_9,EC50_10,EC50_11,EC50_12,EC50_13,EC50_14,EC50_15,EC50_16,EC50_17,EC50_18,EC50_19,EC50_20,EC50_21
-2.3010299956639813,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,,,-2.3010299956639813,,,,,,,-2.3010299956639813,,-2.3010299956639813,,,,,-2.3010299956639813,,,-2.3010299956639813,
-2.903089986991944,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,,,,,,,,,,,,,,,,-2.903089986991944,,,,,
-2.6989700043360187,C/C([O-])=N/c1nnc(S(N)(=O)=O)s1,,,,,,,-2.6989700043360187,,,-2.6989700043360187,-2.6989700043360187,,,,,,,,,,
-1.4771212547196624,CC(C)(C)C(=O)OCOP(=O)(COCCn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C,,,,,,,,,,-1.4771212547196624,-1.0,-1.0,-1.0,,,-1.0,,-1.4771212547196624,-1.0,,
-1.6989700043360187,COc1ccc2cccc(CCNC(C)=O)c2c1,,,,,,,,,,-1.3979400086720375,,,-1.3979400086720375,,,,-1.6989700043360187,,-1.3979400086720375,,
-1.6020599913279625,N=C(N)NC(=O)c1nc(Cl)c(N)nc1N,,,,,,,,,,,,,,,,,,,,,
-4.301029995663981,Nc1ccc(C(=O)O)c(O)c1,,,,,,,,,,,,,-3.6020599913279625,,,-4.079181246047625,,,-3.6020599913279625,,
-2.7781512503836434,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,-1.380211241711606,,-2.7781512503836434,,,-1.380211241711606,,-1.380211241711606,-2.903089986991944,,-2.903089986991944,,-1.380211241711606,,-2.903089986991944,-3.204119982655925,-2.903089986991944,,-2.903089986991944,,
-0.4771212547196624,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](C)[C@@H](O)[C@H]1C)O2,,,-0.6989700043360189,,,-0.6989700043360189,,,,-0.4771212547196624,,,0.0,,-0.0,-0.6989700043360189,-0.7781512503836436,0.0,-0.6989700043360189,,
-0.4771212547196624,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@H](O)C[C@]2(O)C[C@H](O)[C@@H](C(=O)O)[C@H](C[C@@H](O[C@@H]3O[C@H](C)[C@@H](O)[C@H](N)[C@@H]3O)/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@H](C)[C@@H](O)[C@H]1C)O2,,,-0.6989700043360189,,,-0.6989700043360189,,,,-0.4771212547196624,,,0.0,,-0.0,-0.6989700043360189,-0.7781512503836436,0.0,0.0,,
