EC50_1,SMILES,EC50_0,EC50_2,EC50_3,EC50_4,EC50_5
-2.322219294733919,CCCSc1ccc2[nH]c(NC(=O)OC)nc2c1,,,-1.975431808509263,-0.4771212547196624,
-3.096910013008056,COC(c1ccccc1)(c1ccccc1)C(Oc1nc(C)cc(C)n1)C(=O)O,-3.096910013008056,,-2.687974620034556,,-2.8239087409443187
-2.0211892990699383,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,,,,-1.7745169657285496,
-2.6989700043360187,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,,,-3.3010299956639813,,
-2.556302500767288,COC(=O)NC(C(=O)NC(Cc1ccccc1)C(O)CN(Cc1ccc(-c2ccccn2)cc1)NC(=O)C(NC(=O)OC)C(C)(C)C)C(C)(C)C,-2.2405492482826,,-2.780557320149522,-2.5921767573958667,
-0.4771212547196624,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,,,,,
-2.4771212547196626,CCS(=O)(=O)N1CC(CC#N)(n2cc(-c3ncnc4[nH]ccc34)cn2)C1,-1.9590413923210936,-2.0,,-1.880813592280792,
-2.505149978319906,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,,,,-2.026328938722349,
-0.6989700043360189,CCCC1OC2CC3C4CC=C5CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1,,,-6.778151250383644,-8.0,-7.301029995663981
-2.3010299956639813,NC(=O)N1c2ccccc2C=Cc2ccccc21,-0.6989700043360189,,-1.5740312677277188,-1.252853030979893,-1.6989700043360187
-3.0,NC(=O)NC(CCC(=O)O)C(=O)O,-3.0,,-2.8239087409443187,,-2.6989700043360187
-1.812913356642856,Cc1cc(C2CCCCC2)n(O)c(=O)c1,-1.6532125137753435,,-2.4771212547196626,,
-1.6532125137753435,C/C=C/CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,-1.6101276130759954,,-1.469822015978163,-0.8260748027008264,
-8.301029995663981,N=C(N)NCCCC(NC(=O)C1CCCN1C(=O)C1CSSCCC(=O)NC(Cc2ccc(O)cc2)C(=O)NC(Cc2ccccc2)C(=O)NC(CCC(N)=O)C(=O)NC(CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,,,,,
-2.4771212547196626,Cc1ccc(-n2[nH]c(C)c(N=Nc3cccc(-c4cccc(C(=O)O)c4)c3O)c2=O)cc1C,-2.3010299956639813,,-1.7596678446896306,,-1.9719712763997568
-0.6020599913279624,C=C1C(CO)C(O)CC1n1cnc2c(=O)[nH]c(N)nc21,,,-0.4074853265782679,,-0.3010299956639812
-2.4771212547196626,N=C(CCSCc1csc(N=C(N)N)n1)NS(N)(=O)=O,,,,-3.0211892990699383,
-2.3010299956639813,CC(C)C(=O)Oc1ccc(CO)cc1C(CCN(C(C)C)C(C)C)c1ccccc1,,,-1.3979400086720375,,
-3.3010299956639813,NC(=O)CCC(N)C(=O)O,,,,,-3.3010299956639813
-2.4771212547196626,CC(C)Cc1ccc(C(C)C(=O)O)cc1,-2.4771212547196626,,-2.4771212547196626,-1.662757831681574,
-2.5118833609788744,CC(C)[N+]1(C)C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,-8.957128197676813,-2.3010299956639813,,-8.41306120790347,
-3.1222158782728267,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,-3.255272505103306,,-2.745966567012242,-3.1297972712286284,
-2.574031267727719,CCN(CC)c1ccc(C(=C2C=CC(=[N+](CC)CC)C=C2)c2cc(S(=O)(=O)O)ccc2S(=O)(=O)[O-])cc1,,,,,
